,BRITNED_FLOW,EAST_WEST_FLOW,ELECLINK_FLOW,EMBEDDED_SOLAR_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_WIND_GENERATION,ENGLAND_WALES_DEMAND,IFA2_FLOW,IFA_FLOW,MOYLE_FLOW,ND,NEMO_FLOW,NON_BM_STOR,NSL_FLOW,PUMP_STORAGE_PUMPING,SETTLEMENT_DATE,SETTLEMENT_PERIOD,TSD,_count,_full_text,_id
13102,-423,127,0,13080,0,6231,2145,19577,0,932,159,21338,306,0,0,14,2019-10-01,1,22275,17520,"'-01':3 '-10':2 '-423':16 '0':10,12,15,20,21 '1':4 '127':18 '13080':11 '14':13 '159':17 '19577':7 '2019':1 '21338':5 '2145':8 '22275':6 '306':19 '6231':9 '932':14",13103
13103,-508,111,0,13080,0,6231,2173,18958,0,911,159,20611,329,0,0,227,2019-10-01,2,21846,17520,"'-01':3 '-10':2 '-508':16 '0':10,12,15,20,21 '111':18 '13080':11 '159':17 '18958':7 '2':4 '2019':1 '20611':5 '2173':8 '21846':6 '227':13 '329':19 '6231':9 '911':14",13104
13104,-709,117,0,13080,0,6231,2183,18658,0,817,159,20182,547,0,0,578,2019-10-01,3,21969,17520,"'-01':3 '-10':2 '-709':16 '0':10,12,15,20,21 '117':18 '13080':11 '159':17 '18658':7 '20182':5 '2019':1 '2183':8 '21969':6 '3':4 '547':19 '578':13 '6231':9 '817':14",13105
13105,-726,117,0,13080,0,6231,2193,18836,0,817,159,20316,564,0,0,865,2019-10-01,4,22407,17520,"'-01':3 '-10':2 '-726':16 '0':10,12,15,20,21 '117':18 '13080':11 '159':17 '18836':7 '2019':1 '20316':5 '2193':8 '22407':6 '4':4 '564':19 '6231':9 '817':14 '865':13",13106
13106,-726,117,0,13080,0,6231,2186,18618,0,483,159,20033,661,0,0,861,2019-10-01,5,22120,17520,"'-01':3 '-10':2 '-726':16 '0':10,12,15,20,21 '117':18 '13080':11 '159':17 '18618':7 '20033':5 '2019':1 '2186':8 '22120':6 '483':14 '5':4 '6231':9 '661':19 '861':13",13107
13107,-726,117,0,13080,0,6231,2178,18296,0,469,159,19668,668,0,0,864,2019-10-01,6,21758,17520,"'-01':3 '-10':2 '-726':16 '0':10,12,15,20,21 '117':18 '13080':11 '159':17 '18296':7 '19668':5 '2019':1 '21758':6 '2178':8 '469':14 '6':4 '6231':9 '668':19 '864':13",13108
13108,-385,117,0,13080,0,6231,2168,18103,0,187,159,19447,668,0,0,866,2019-10-01,7,21198,17520,"'-01':3 '-10':2 '-385':16 '0':10,12,15,20,21 '117':18 '13080':11 '159':17 '18103':7 '187':14 '19447':5 '2019':1 '21198':6 '2168':8 '6231':9 '668':19 '7':4 '866':13",13109
13109,-358,117,0,13080,0,6231,2157,17990,0,191,159,19304,668,0,0,860,2019-10-01,8,21022,17520,"'-01':3 '-10':2 '-358':16 '0':10,12,15,20,21 '117':18 '13080':11 '159':17 '17990':7 '191':14 '19304':5 '2019':1 '21022':6 '2157':8 '6231':9 '668':19 '8':4 '860':13",13110
13110,-608,166,0,13080,0,6231,2090,18161,0,-690,159,19443,668,0,0,852,2019-10-01,9,22093,17520,"'-01':3 '-10':2 '-608':16 '-690':14 '0':10,12,15,20,21 '13080':11 '159':17 '166':18 '18161':7 '19443':5 '2019':1 '2090':8 '22093':6 '6231':9 '668':19 '852':13 '9':4",13111
13111,-629,279,0,13080,0,6231,2022,18407,0,-735,159,19704,668,0,0,828,2019-10-01,10,22396,17520,"'-01':3 '-10':2 '-629':16 '-735':14 '0':10,12,15,20,21 '10':4 '13080':11 '159':17 '18407':7 '19704':5 '2019':1 '2022':8 '22396':6 '279':18 '6231':9 '668':19 '828':13",13112
13112,-650,426,0,13080,0,6231,1988,19102,0,-818,159,20615,539,0,0,175,2019-10-01,11,22758,17520,"'-01':3 '-10':2 '-650':16 '-818':14 '0':10,12,15,20,21 '11':4 '13080':11 '159':17 '175':13 '19102':7 '1988':8 '2019':1 '20615':5 '22758':6 '426':18 '539':19 '6231':9",13113
13113,-651,504,0,13080,0,6231,1954,20439,0,-861,159,22123,529,0,0,8,2019-10-01,12,24143,17520,"'-01':3 '-10':2 '-651':16 '-861':14 '0':10,12,15,20,21 '12':4 '13080':11 '159':17 '1954':8 '2019':1 '20439':7 '22123':5 '24143':6 '504':18 '529':19 '6231':9 '8':13",13114
13114,-426,504,0,13080,0,6231,1910,22925,0,161,159,24918,37,0,0,12,2019-10-01,13,25856,17520,"'-01':3 '-10':2 '-426':16 '0':10,12,15,20,21 '12':13 '13':4 '13080':11 '159':17 '161':14 '1910':8 '2019':1 '22925':7 '24918':5 '25856':6 '37':19 '504':18 '6231':9",13115
13115,-407,504,0,13080,0,6231,1866,25762,0,234,159,28047,0,0,0,13,2019-10-01,14,28967,17520,"'-01':3 '-10':2 '-407':16 '0':10,12,15,19,20,21 '13':13 '13080':11 '14':4 '159':17 '1866':8 '2019':1 '234':14 '25762':7 '28047':5 '28967':6 '504':18 '6231':9",13116
13116,-463,504,0,13080,7,6231,1844,28412,0,-308,159,30964,-56,0,0,13,2019-10-01,15,32304,17520,"'-01':3 '-10':2 '-308':14 '-463':16 '-56':19 '0':12,15,20,21 '13':13 '13080':11 '15':4 '159':17 '1844':8 '2019':1 '28412':7 '30964':5 '32304':6 '504':18 '6231':9 '7':10",13117
13117,-458,445,0,13080,189,6231,1822,29643,0,-322,159,32238,-60,0,0,6,2019-10-01,16,33584,17520,"'-01':3 '-10':2 '-322':14 '-458':16 '-60':19 '0':12,15,20,21 '13080':11 '159':17 '16':4 '1822':8 '189':10 '2019':1 '29643':7 '32238':5 '33584':6 '445':18 '6':13 '6231':9",13118
13118,345,296,0,13080,470,6231,1852,30289,0,-601,159,32959,-4,0,0,10,2019-10-01,17,34074,17520,"'-01':3 '-10':2 '-4':19 '-601':14 '0':12,15,20,21 '10':13 '13080':11 '159':17 '17':4 '1852':8 '2019':1 '296':18 '30289':7 '32959':5 '34074':6 '345':16 '470':10 '6231':9",13119
13119,414,220,0,13080,815,6231,1883,30325,0,-622,159,33020,0,0,0,10,2019-10-01,18,34152,17520,"'-01':3 '-10':2 '-622':14 '0':12,15,19,20,21 '10':13 '13080':11 '159':17 '18':4 '1883':8 '2019':1 '220':18 '30325':7 '33020':5 '34152':6 '414':16 '6231':9 '815':10",13120
13120,307,153,0,13080,1300,6231,1960,30641,0,-343,159,33403,0,0,0,10,2019-10-01,19,34256,17520,"'-01':3 '-10':2 '-343':14 '0':12,15,19,20,21 '10':13 '1300':10 '13080':11 '153':18 '159':17 '19':4 '1960':8 '2019':1 '30641':7 '307':16 '33403':5 '34256':6 '6231':9",13121
13121,299,90,0,13080,1670,6231,2037,30653,0,-316,159,33410,0,0,0,10,2019-10-01,20,34236,17520,"'-01':3 '-10':2 '-316':14 '0':12,15,19,20,21 '10':13 '13080':11 '159':17 '1670':10 '20':4 '2019':1 '2037':8 '299':16 '30653':7 '33410':5 '34236':6 '6231':9 '90':18",13122
13122,299,224,0,13080,2060,6231,2072,30392,0,-803,159,33187,0,0,0,10,2019-10-01,21,34500,17520,"'-01':3 '-10':2 '-803':14 '0':12,15,19,20,21 '10':13 '13080':11 '159':17 '2019':1 '2060':10 '2072':8 '21':4 '224':18 '299':16 '30392':7 '33187':5 '34500':6 '6231':9",13123
13123,299,171,0,13080,2200,6231,2108,30033,0,-840,159,32786,0,0,0,8,2019-10-01,22,34134,17520,"'-01':3 '-10':2 '-840':14 '0':12,15,19,20,21 '13080':11 '159':17 '171':18 '2019':1 '2108':8 '22':4 '2200':10 '299':16 '30033':7 '32786':5 '34134':6 '6231':9 '8':13",13124
13124,251,161,0,13080,2790,6231,2104,30007,0,-476,159,32725,0,0,0,6,2019-10-01,23,33707,17520,"'-01':3 '-10':2 '-476':14 '0':12,15,19,20,21 '13080':11 '159':17 '161':18 '2019':1 '2104':8 '23':4 '251':16 '2790':10 '30007':7 '32725':5 '33707':6 '6':13 '6231':9",13125
13125,248,155,0,13080,2850,6231,2101,29831,0,-458,159,32557,0,0,0,6,2019-10-01,24,33521,17520,"'-01':3 '-10':2 '-458':14 '0':12,15,19,20,21 '13080':11 '155':18 '159':17 '2019':1 '2101':8 '24':4 '248':16 '2850':10 '29831':7 '32557':5 '33521':6 '6':13 '6231':9",13126
13126,248,267,0,13080,3010,6231,2080,29764,0,-522,159,32465,0,0,0,6,2019-10-01,25,33493,17520,"'-01':3 '-10':2 '-522':14 '0':12,15,19,20,21 '13080':11 '159':17 '2019':1 '2080':8 '248':16 '25':4 '267':18 '29764':7 '3010':10 '32465':5 '33493':6 '6':13 '6231':9",13127
13127,248,267,0,13080,3010,6231,2058,29478,0,-522,130,32185,0,0,0,6,2019-10-01,26,33213,17520,"'-01':3 '-10':2 '-522':14 '0':12,15,19,20,21 '130':17 '13080':11 '2019':1 '2058':8 '248':16 '26':4 '267':18 '29478':7 '3010':10 '32185':5 '33213':6 '6':13 '6231':9",13128
13128,284,395,0,13080,3310,6231,2089,29285,0,-724,159,32044,0,0,0,6,2019-10-01,27,33274,17520,"'-01':3 '-10':2 '-724':14 '0':12,15,19,20,21 '13080':11 '159':17 '2019':1 '2089':8 '27':4 '284':16 '29285':7 '32044':5 '3310':10 '33274':6 '395':18 '6':13 '6231':9",13129
13129,287,381,0,13080,3420,6231,2120,28986,0,-739,160,31802,0,0,0,5,2019-10-01,28,33046,17520,"'-01':3 '-10':2 '-739':14 '0':12,15,19,20,21 '13080':11 '160':17 '2019':1 '2120':8 '28':4 '287':16 '28986':7 '31802':5 '33046':6 '3420':10 '381':18 '5':13 '6231':9",13130
