,BRITNED_FLOW,EAST_WEST_FLOW,ELECLINK_FLOW,EMBEDDED_SOLAR_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_WIND_GENERATION,ENGLAND_WALES_DEMAND,IFA2_FLOW,IFA_FLOW,MOYLE_FLOW,ND,NEMO_FLOW,NON_BM_STOR,NSL_FLOW,PUMP_STORAGE_PUMPING,SETTLEMENT_DATE,SETTLEMENT_PERIOD,TSD,_count,_full_text,_id
4318,1045,0,0,13080,0,6545,1758,22275,-947,-863,-56,24499,1000,0,693,978,2022-04-01,1,27843,14592,"'-01':3 '-04':2 '-56':17 '-863':14 '-947':15 '0':10,12,18,21 '1':4 '1000':19 '1045':16 '13080':11 '1758':8 '2022':1 '22275':7 '24499':5 '27843':6 '6545':9 '693':20 '978':13",4319
4319,1045,0,0,13080,0,6545,1669,21881,-951,-868,-70,24037,999,0,693,1175,2022-04-01,2,27601,14592,"'-01':3 '-04':2 '-70':17 '-868':14 '-951':15 '0':10,12,18,21 '1045':16 '1175':13 '13080':11 '1669':8 '2':4 '2022':1 '21881':7 '24037':5 '27601':6 '6545':9 '693':20 '999':19",4320
4320,1045,0,0,13080,0,6545,1680,21941,-850,-1019,-84,24055,999,0,693,1164,2022-04-01,3,27672,14592,"'-01':3 '-04':2 '-1019':14 '-84':17 '-850':15 '0':10,12,18,21 '1045':16 '1164':13 '13080':11 '1680':8 '2022':1 '21941':7 '24055':5 '27672':6 '3':4 '6545':9 '693':20 '999':19",4321
4321,1045,0,0,13080,0,6545,1690,22542,-842,-191,50,24612,999,0,693,1161,2022-04-01,4,27306,14592,"'-01':3 '-04':2 '-191':14 '-842':15 '0':10,12,18,21 '1045':16 '1161':13 '13080':11 '1690':8 '2022':1 '22542':7 '24612':5 '27306':6 '4':4 '50':17 '6545':9 '693':20 '999':19",4322
4322,1016,0,0,13080,0,6545,1670,22557,-750,-4,-43,24670,1000,0,693,1166,2022-04-01,5,27133,14592,"'-01':3 '-04':2 '-4':14 '-43':17 '-750':15 '0':10,12,18,21 '1000':19 '1016':16 '1166':13 '13080':11 '1670':8 '2022':1 '22557':7 '24670':5 '27133':6 '5':4 '6545':9 '693':20",4323
4323,1015,0,0,13080,0,6545,1650,22133,-747,-419,-110,24251,999,0,693,1391,2022-04-01,6,27418,14592,"'-01':3 '-04':2 '-110':17 '-419':14 '-747':15 '0':10,12,18,21 '1015':16 '13080':11 '1391':13 '1650':8 '2022':1 '22133':7 '24251':5 '27418':6 '6':4 '6545':9 '693':20 '999':19",4324
4324,935,0,0,13080,0,6545,1669,21887,-847,-816,-101,24040,913,0,693,1409,2022-04-01,7,27713,14592,"'-01':3 '-04':2 '-101':17 '-816':14 '-847':15 '0':10,12,18,21 '13080':11 '1409':13 '1669':8 '2022':1 '21887':7 '24040':5 '27713':6 '6545':9 '693':20 '7':4 '913':19 '935':16",4325
4325,933,0,0,13080,0,6545,1687,21765,-858,-826,-180,23977,910,0,693,1329,2022-04-01,8,27670,14592,"'-01':3 '-04':2 '-180':17 '-826':14 '-858':15 '0':10,12,18,21 '13080':11 '1329':13 '1687':8 '2022':1 '21765':7 '23977':5 '27670':6 '6545':9 '693':20 '8':4 '910':19 '933':16",4326
4326,913,0,0,13080,0,6545,1654,21658,-1016,-980,-141,23871,992,0,693,1409,2022-04-01,9,27917,14592,"'-01':3 '-04':2 '-1016':15 '-141':17 '-980':14 '0':10,12,18,21 '13080':11 '1409':13 '1654':8 '2022':1 '21658':7 '23871':5 '27917':6 '6545':9 '693':20 '9':4 '913':16 '992':19",4327
4327,913,0,0,13080,0,6545,1620,21664,-1026,-989,-147,23879,995,0,693,1400,2022-04-01,10,27941,14592,"'-01':3 '-04':2 '-1026':15 '-147':17 '-989':14 '0':10,12,18,21 '10':4 '13080':11 '1400':13 '1620':8 '2022':1 '21664':7 '23879':5 '27941':6 '6545':9 '693':20 '913':16 '995':19",4328
