,BRITNED_FLOW,EAST_WEST_FLOW,ELECLINK_FLOW,EMBEDDED_SOLAR_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_WIND_GENERATION,ENGLAND_WALES_DEMAND,IFA2_FLOW,IFA_FLOW,MOYLE_FLOW,ND,NEMO_FLOW,NON_BM_STOR,NSL_FLOW,PUMP_STORAGE_PUMPING,SETTLEMENT_DATE,SETTLEMENT_PERIOD,TSD,_count,_full_text,_id
10174,-413,0,0,13080,0,6545,441,18194,-1021,-1028,15,20026,-1020,0,-875,6,2022-08-01,1,24889,14592,"'-01':3 '-08':2 '-1020':19 '-1021':15 '-1028':14 '-413':16 '-875':20 '0':10,12,18,21 '1':4 '13080':11 '15':17 '18194':7 '20026':5 '2022':1 '24889':6 '441':8 '6':13 '6545':9",10175
10175,-466,0,0,13080,0,6545,418,17824,-1029,-1030,26,19630,-1020,0,-940,7,2022-08-01,2,24622,14592,"'-01':3 '-08':2 '-1020':19 '-1029':15 '-1030':14 '-466':16 '-940':20 '0':10,12,18,21 '13080':11 '17824':7 '19630':5 '2':4 '2022':1 '24622':6 '26':17 '418':8 '6545':9 '7':13",10176
10176,-515,11,0,13080,0,6545,394,17443,-1029,-1031,145,19206,-833,0,-1160,343,2022-08-01,3,24617,14592,"'-01':3 '-08':2 '-1029':15 '-1031':14 '-1160':20 '-515':16 '-833':19 '0':10,12,21 '11':18 '13080':11 '145':17 '17443':7 '19206':5 '2022':1 '24617':6 '3':4 '343':13 '394':8 '6545':9",10177
10177,-516,0,0,13080,0,6545,369,17266,-1029,-1031,202,18979,-827,0,-1169,551,2022-08-01,4,24602,14592,"'-01':3 '-08':2 '-1029':15 '-1031':14 '-1169':20 '-516':16 '-827':19 '0':10,12,18,21 '13080':11 '17266':7 '18979':5 '202':17 '2022':1 '24602':6 '369':8 '4':4 '551':13 '6545':9",10178
10178,-566,0,0,13080,0,6545,358,17132,-1029,-1031,170,18848,-1014,0,-932,310,2022-08-01,5,24230,14592,"'-01':3 '-08':2 '-1014':19 '-1029':15 '-1031':14 '-566':16 '-932':20 '0':10,12,18,21 '13080':11 '170':17 '17132':7 '18848':5 '2022':1 '24230':6 '310':13 '358':8 '5':4 '6545':9",10179
10179,-556,0,0,13080,0,6545,347,16880,-1029,-1031,180,18560,-1020,0,-915,395,2022-08-01,6,24006,14592,"'-01':3 '-08':2 '-1020':19 '-1029':15 '-1031':14 '-556':16 '-915':20 '0':10,12,18,21 '13080':11 '16880':7 '180':17 '18560':5 '2022':1 '24006':6 '347':8 '395':13 '6':4 '6545':9",10180
10180,-202,0,0,13080,0,6545,326,16682,-1029,-1031,171,18354,-1021,0,-1074,608,2022-08-01,7,23819,14592,"'-01':3 '-08':2 '-1021':19 '-1029':15 '-1031':14 '-1074':20 '-202':16 '0':10,12,18,21 '13080':11 '16682':7 '171':17 '18354':5 '2022':1 '23819':6 '326':8 '608':13 '6545':9 '7':4",10181
10181,-225,0,0,13080,0,6545,305,16573,-1029,-1031,161,18253,-1021,0,-1090,604,2022-08-01,8,23753,14592,"'-01':3 '-08':2 '-1021':19 '-1029':15 '-1031':14 '-1090':20 '-225':16 '0':10,12,18,21 '13080':11 '161':17 '16573':7 '18253':5 '2022':1 '23753':6 '305':8 '604':13 '6545':9 '8':4",10182
10182,-607,0,0,13080,0,6545,305,16568,-1029,-1031,145,18250,-1020,0,-1039,333,2022-08-01,9,23809,14592,"'-01':3 '-08':2 '-1020':19 '-1029':15 '-1031':14 '-1039':20 '-607':16 '0':10,12,18,21 '13080':11 '145':17 '16568':7 '18250':5 '2022':1 '23809':6 '305':8 '333':13 '6545':9 '9':4",10183
10183,-608,0,0,13080,0,6545,304,16646,-1029,-1031,166,18325,-1021,0,-1024,332,2022-08-01,10,23870,14592,"'-01':3 '-08':2 '-1021':19 '-1024':20 '-1029':15 '-1031':14 '-608':16 '0':10,12,18,21 '10':4 '13080':11 '166':17 '16646':7 '18325':5 '2022':1 '23870':6 '304':8 '332':13 '6545':9",10184
10184,-568,14,0,13080,0,6545,300,17009,-1029,-1031,207,18691,-921,0,-910,132,2022-08-01,11,23782,14592,"'-01':3 '-08':2 '-1029':15 '-1031':14 '-568':16 '-910':20 '-921':19 '0':10,12,21 '11':4 '13080':11 '132':13 '14':18 '17009':7 '18691':5 '2022':1 '207':17 '23782':6 '300':8 '6545':9",10185
10185,-566,143,0,13080,29,6545,295,17624,-1029,-1030,198,19343,-906,0,-865,10,2022-08-01,12,24249,14592,"'-01':3 '-08':2 '-1029':15 '-1030':14 '-566':16 '-865':20 '-906':19 '0':12,21 '10':13 '12':4 '13080':11 '143':18 '17624':7 '19343':5 '198':17 '2022':1 '24249':6 '29':10 '295':8 '6545':9",10186
10186,-346,295,0,13080,257,6545,291,18655,-1029,-1031,207,20511,-212,0,-479,186,2022-08-01,13,24294,14592,"'-01':3 '-08':2 '-1029':15 '-1031':14 '-212':19 '-346':16 '-479':20 '0':12,21 '13':4 '13080':11 '186':13 '18655':7 '2022':1 '20511':5 '207':17 '24294':6 '257':10 '291':8 '295':18 '6545':9",10187
