,BRITNED_FLOW,EAST_WEST_FLOW,ELECLINK_FLOW,EMBEDDED_SOLAR_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_WIND_GENERATION,ENGLAND_WALES_DEMAND,IFA2_FLOW,IFA_FLOW,MOYLE_FLOW,ND,NEMO_FLOW,NON_BM_STOR,NSL_FLOW,PUMP_STORAGE_PUMPING,SETTLEMENT_DATE,SETTLEMENT_PERIOD,TSD,_count,_full_text,_id
7246,-1074,0,-908,13080,0,6545,511,19563,-1028,2,175,21494,-1021,0,343,5,2022-06-01,1,26030,14592,"'-01':3 '-06':2 '-1021':19 '-1028':15 '-1074':16 '-908':21 '0':10,12,18 '1':4 '13080':11 '175':17 '19563':7 '2':14 '2022':1 '21494':5 '26030':6 '343':20 '5':13 '511':8 '6545':9",7247
7247,-1074,0,-904,13080,0,6545,496,19092,-1028,15,199,20995,-1021,0,284,6,2022-06-01,2,25528,14592,"'-01':3 '-06':2 '-1021':19 '-1028':15 '-1074':16 '-904':21 '0':10,12,18 '13080':11 '15':14 '19092':7 '199':17 '2':4 '2022':1 '20995':5 '25528':6 '284':20 '496':8 '6':13 '6545':9",7248
7248,-1074,0,-786,13080,0,6545,507,18637,-1028,-967,171,20498,-1021,0,41,236,2022-06-01,3,26110,14592,"'-01':3 '-06':2 '-1021':19 '-1028':15 '-1074':16 '-786':21 '-967':14 '0':10,12,18 '13080':11 '171':17 '18637':7 '2022':1 '20498':5 '236':13 '26110':6 '3':4 '41':20 '507':8 '6545':9",7249
7249,-1075,0,-780,13080,0,6545,518,18569,-1028,-1031,168,20393,-1021,0,10,279,2022-06-01,4,26107,14592,"'-01':3 '-06':2 '-1021':19 '-1028':15 '-1031':14 '-1075':16 '-780':21 '0':10,12,18 '10':20 '13080':11 '168':17 '18569':7 '2022':1 '20393':5 '26107':6 '279':13 '4':4 '518':8 '6545':9",7250
7250,-1017,0,-828,13080,0,6545,515,18266,-1028,-1031,187,20067,-1021,0,-1,533,2022-06-01,5,26026,14592,"'-01':3 '-06':2 '-1':20 '-1017':16 '-1021':19 '-1028':15 '-1031':14 '-828':21 '0':10,12,18 '13080':11 '18266':7 '187':17 '20067':5 '2022':1 '26026':6 '5':4 '515':8 '533':13 '6545':9",7251
7251,-1014,0,-832,13080,0,6545,511,17956,-1029,-1031,148,19763,-1021,0,-3,548,2022-06-01,6,25741,14592,"'-01':3 '-06':2 '-1014':16 '-1021':19 '-1029':15 '-1031':14 '-3':20 '-832':21 '0':10,12,18 '13080':11 '148':17 '17956':7 '19763':5 '2022':1 '25741':6 '511':8 '548':13 '6':4 '6545':9",7252
7252,-1014,0,-860,13080,0,6545,506,17742,-1028,-1032,130,19540,-1021,0,-3,546,2022-06-01,7,25544,14592,"'-01':3 '-06':2 '-1014':16 '-1021':19 '-1028':15 '-1032':14 '-3':20 '-860':21 '0':10,12,18 '130':17 '13080':11 '17742':7 '19540':5 '2022':1 '25544':6 '506':8 '546':13 '6545':9 '7':4",7253
7253,-1014,0,-862,13080,0,6545,500,17567,-1029,-1031,194,19369,-1021,0,-3,544,2022-06-01,8,25373,14592,"'-01':3 '-06':2 '-1014':16 '-1021':19 '-1029':15 '-1031':14 '-3':20 '-862':21 '0':10,12,18 '13080':11 '17567':7 '19369':5 '194':17 '2022':1 '25373':6 '500':8 '544':13 '6545':9 '8':4",7254
7254,-1014,0,-905,13080,0,6545,487,17685,-1028,-1032,157,19475,-1021,0,-3,545,2022-06-01,9,25523,14592,"'-01':3 '-06':2 '-1014':16 '-1021':19 '-1028':15 '-1032':14 '-3':20 '-905':21 '0':10,12,18 '13080':11 '157':17 '17685':7 '19475':5 '2022':1 '25523':6 '487':8 '545':13 '6545':9 '9':4",7255
7255,-1014,0,-908,13080,1,6545,473,17387,-1028,-1031,124,19161,-1021,0,-3,545,2022-06-01,10,25211,14592,"'-01':3 '-06':2 '-1014':16 '-1021':19 '-1028':15 '-1031':14 '-3':20 '-908':21 '0':12,18 '1':10 '10':4 '124':17 '13080':11 '17387':7 '19161':5 '2022':1 '25211':6 '473':8 '545':13 '6545':9",7256
7256,-1074,0,-908,13080,58,6545,468,17614,-1028,-1032,176,19424,-1021,0,-3,344,2022-06-01,11,25334,14592,"'-01':3 '-06':2 '-1021':19 '-1028':15 '-1032':14 '-1074':16 '-3':20 '-908':21 '0':12,18 '11':4 '13080':11 '176':17 '17614':7 '19424':5 '2022':1 '25334':6 '344':13 '468':8 '58':10 '6545':9",7257
7257,-1074,0,-908,13080,270,6545,462,18296,-1028,-1032,66,20168,-1021,0,26,330,2022-06-01,12,26061,14592,"'-01':3 '-06':2 '-1021':19 '-1028':15 '-1032':14 '-1074':16 '-908':21 '0':12,18 '12':4 '13080':11 '18296':7 '20168':5 '2022':1 '26':20 '26061':6 '270':10 '330':13 '462':8 '6545':9 '66':17",7258
7258,-1075,0,-908,13080,603,6545,454,19921,-1028,-1032,123,21948,-1021,0,380,27,2022-06-01,13,27539,14592,"'-01':3 '-06':2 '-1021':19 '-1028':15 '-1032':14 '-1075':16 '-908':21 '0':12,18 '123':17 '13':4 '13080':11 '19921':7 '2022':1 '21948':5 '27':13 '27539':6 '380':20 '454':8 '603':10 '6545':9",7259
7259,-1068,36,-898,13080,1120,6545,445,21072,-1023,-1032,154,23264,-1013,0,442,10,2022-06-01,14,28808,14592,'-01':3 '-06':2 '-1013':19 '-1023':15 '-1032':14 '-1068':16 '-898':21 '0':12 '10':13 '1120':10 '13080':11 '14':4 '154':17 '2022':1 '21072':7 '23264':5 '28808':6 '36':18 '442':20 '445':8 '6545':9,7260
7260,-481,-31,-578,13080,1690,6545,444,22458,-861,-997,30,24910,-411,0,665,9,2022-06-01,15,28778,14592,'-01':3 '-06':2 '-31':18 '-411':19 '-481':16 '-578':21 '-861':15 '-997':14 '0':12 '13080':11 '15':4 '1690':10 '2022':1 '22458':7 '24910':5 '28778':6 '30':17 '444':8 '6545':9 '665':20 '9':13,7261
7261,-430,-174,-545,13080,2430,6545,442,22973,-842,-987,-83,25579,-377,0,693,7,2022-06-01,16,29524,14592,'-01':3 '-06':2 '-174':18 '-377':19 '-430':16 '-545':21 '-83':17 '-842':15 '-987':14 '0':12 '13080':11 '16':4 '2022':1 '22973':7 '2430':10 '25579':5 '29524':6 '442':8 '6545':9 '693':20 '7':13,7262
