,BRITNED_FLOW,EAST_WEST_FLOW,ELECLINK_FLOW,EMBEDDED_SOLAR_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_WIND_GENERATION,ENGLAND_WALES_DEMAND,IFA2_FLOW,IFA_FLOW,MOYLE_FLOW,ND,NEMO_FLOW,NON_BM_STOR,NSL_FLOW,PUMP_STORAGE_PUMPING,SETTLEMENT_DATE,SETTLEMENT_PERIOD,TSD,_count,_full_text,_id
0,176,-250,0,13052,0,5918,2548,22393,0,1553,-455,23808,0,0,0,178,2019-01-01,1,25291,17520,"'-01':2,3 '-250':18 '-455':17 '0':10,12,15,19,20,21 '1':4 '13052':11 '1553':14 '176':16 '178':13 '2019':1 '22393':7 '23808':5 '25291':6 '2548':8 '5918':9",1
1,194,-236,0,13052,0,5918,2475,22962,0,1554,-455,24402,0,0,0,27,2019-01-01,2,25720,17520,"'-01':2,3 '-236':18 '-455':17 '0':10,12,15,19,20,21 '13052':11 '1554':14 '194':16 '2':4 '2019':1 '22962':7 '24402':5 '2475':8 '25720':6 '27':13 '5918':9",2
2,581,-311,0,13052,0,5918,2396,22689,0,1505,-410,24147,0,0,0,27,2019-01-01,3,25495,17520,"'-01':2,3 '-311':18 '-410':17 '0':10,12,15,19,20,21 '13052':11 '1505':14 '2019':1 '22689':7 '2396':8 '24147':5 '25495':6 '27':13 '3':4 '581':16 '5918':9",3
3,600,-315,0,13052,0,5918,2317,21849,0,1503,-450,23197,0,0,0,28,2019-01-01,4,24590,17520,"'-01':2,3 '-315':18 '-450':17 '0':10,12,15,19,20,21 '13052':11 '1503':14 '2019':1 '21849':7 '2317':8 '23197':5 '24590':6 '28':13 '4':4 '5918':9 '600':16",4
4,675,-463,0,13052,0,5918,2236,20979,0,1503,-442,22316,0,0,0,525,2019-01-01,5,24346,17520,"'-01':2,3 '-442':17 '-463':18 '0':10,12,15,19,20,21 '13052':11 '1503':14 '2019':1 '20979':7 '22316':5 '2236':8 '24346':6 '5':4 '525':13 '5918':9 '675':16",5
5,677,-535,0,13052,0,5918,2156,20583,0,1505,-442,21987,0,0,0,850,2019-01-01,6,24414,17520,"'-01':2,3 '-442':17 '-535':18 '0':10,12,15,19,20,21 '13052':11 '1505':14 '2019':1 '20583':7 '2156':8 '21987':5 '24414':6 '5918':9 '6':4 '677':16 '850':13",6
6,305,-536,0,13052,0,5918,2081,19433,0,1406,-455,20958,0,0,0,1146,2019-01-01,7,23695,17520,"'-01':2,3 '-455':17 '-536':18 '0':10,12,15,19,20,21 '1146':13 '13052':11 '1406':14 '19433':7 '2019':1 '2081':8 '20958':5 '23695':6 '305':16 '5918':9 '7':4",7
7,287,-536,0,13052,0,5918,2006,18988,0,1410,-455,20640,0,0,0,1167,2019-01-01,8,23398,17520,"'-01':2,3 '-455':17 '-536':18 '0':10,12,15,19,20,21 '1167':13 '13052':11 '1410':14 '18988':7 '2006':8 '2019':1 '20640':5 '23398':6 '287':16 '5918':9 '8':4",8
8,324,-536,0,13052,0,5918,1958,18687,0,971,-455,20331,0,0,0,1158,2019-01-01,9,23080,17520,"'-01':2,3 '-455':17 '-536':18 '0':10,12,15,19,20,21 '1158':13 '13052':11 '18687':7 '1958':8 '2019':1 '20331':5 '23080':6 '324':16 '5918':9 '9':4 '971':14",9
9,326,-535,0,13052,0,5918,1909,18509,0,963,-455,20095,0,0,0,1150,2019-01-01,10,22835,17520,"'-01':2,3 '-455':17 '-535':18 '0':10,12,15,19,20,21 '10':4 '1150':13 '13052':11 '18509':7 '1909':8 '20095':5 '2019':1 '22835':6 '326':16 '5918':9 '963':14",10
10,390,-536,0,13052,0,5918,1865,18525,0,575,-455,20138,0,0,0,895,2019-01-01,11,22624,17520,"'-01':2,3 '-455':17 '-536':18 '0':10,12,15,19,20,21 '11':4 '13052':11 '18525':7 '1865':8 '20138':5 '2019':1 '22624':6 '390':16 '575':14 '5918':9 '895':13",11
11,393,-536,0,13052,0,5918,1821,18757,0,563,-455,20404,0,0,0,820,2019-01-01,12,22815,17520,"'-01':2,3 '-455':17 '-536':18 '0':10,12,15,19,20,21 '12':4 '13052':11 '1821':8 '18757':7 '2019':1 '20404':5 '22815':6 '393':16 '563':14 '5918':9 '820':13",12
12,439,-535,0,13052,0,5918,1768,19380,0,521,-455,21110,0,0,0,820,2019-01-01,13,23520,17520,"'-01':2,3 '-455':17 '-535':18 '0':10,12,15,19,20,21 '13':4 '13052':11 '1768':8 '19380':7 '2019':1 '21110':5 '23520':6 '439':16 '521':14 '5918':9 '820':13",13
13,423,-536,0,13052,0,5918,1716,19785,0,495,-449,21583,0,0,0,594,2019-01-01,14,23762,17520,"'-01':2,3 '-449':17 '-536':18 '0':10,12,15,19,20,21 '13052':11 '14':4 '1716':8 '19785':7 '2019':1 '21583':5 '23762':6 '423':16 '495':14 '5918':9 '594':13",14
14,3,-535,0,13052,0,5918,1673,20365,0,1627,-454,22209,0,0,0,191,2019-01-01,15,23989,17520,"'-01':2,3 '-454':17 '-535':18 '0':10,12,15,19,20,21 '13052':11 '15':4 '1627':14 '1673':8 '191':13 '2019':1 '20365':7 '22209':5 '23989':6 '3':16 '5918':9",15
