,BRITNED_FLOW,EAST_WEST_FLOW,ELECLINK_FLOW,EMBEDDED_SOLAR_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_WIND_GENERATION,ENGLAND_WALES_DEMAND,IFA2_FLOW,IFA_FLOW,MOYLE_FLOW,ND,NEMO_FLOW,NON_BM_STOR,NSL_FLOW,PUMP_STORAGE_PUMPING,SETTLEMENT_DATE,SETTLEMENT_PERIOD,TSD,_count,_full_text,_id
14592,196,0,0,13080,0,6231,1674,23632,0,1754,-52,26066,463,0,0,13,2019-11-01,1,26731,17520,"'-01':3 '-11':2 '-52':17 '0':10,12,15,18,20,21 '1':4 '13':13 '13080':11 '1674':8 '1754':14 '196':16 '2019':1 '23632':7 '26066':5 '26731':6 '463':19 '6231':9",14593
14593,198,0,0,13080,0,6231,1685,23784,0,1755,15,26168,460,0,0,10,2019-11-01,2,26778,17520,"'-01':3 '-11':2 '0':10,12,15,18,20,21 '10':13 '13080':11 '15':17 '1685':8 '1755':14 '198':16 '2':4 '2019':1 '23784':7 '26168':5 '26778':6 '460':19 '6231':9",14594
14594,198,0,0,13080,0,6231,1682,23376,0,1741,32,25718,19,0,0,13,2019-11-01,3,26331,17520,"'-01':3 '-11':2 '0':10,12,15,18,20,21 '13':13 '13080':11 '1682':8 '1741':14 '19':19 '198':16 '2019':1 '23376':7 '25718':5 '26331':6 '3':4 '32':17 '6231':9",14595
14595,198,0,0,13080,0,6231,1678,22773,0,1740,101,25052,0,0,0,152,2019-11-01,4,25804,17520,"'-01':3 '-11':2 '0':10,12,15,18,19,20,21 '101':17 '13080':11 '152':13 '1678':8 '1740':14 '198':16 '2019':1 '22773':7 '25052':5 '25804':6 '4':4 '6231':9",14596
14596,152,0,0,13080,0,6231,1655,22303,0,1755,112,24539,178,0,0,1246,2019-11-01,5,26385,17520,"'-01':3 '-11':2 '0':10,12,15,18,20,21 '112':17 '1246':13 '13080':11 '152':16 '1655':8 '1755':14 '178':19 '2019':1 '22303':7 '24539':5 '26385':6 '5':4 '6231':9",14597
14597,152,0,0,13080,0,6231,1632,21980,0,1756,161,24239,184,0,0,1262,2019-11-01,6,26101,17520,"'-01':3 '-11':2 '0':10,12,15,18,20,21 '1262':13 '13080':11 '152':16 '161':17 '1632':8 '1756':14 '184':19 '2019':1 '21980':7 '24239':5 '26101':6 '6':4 '6231':9",14598
14598,578,0,0,13080,0,6231,1644,21540,0,1650,99,23842,6,0,0,1172,2019-11-01,7,25614,17520,"'-01':3 '-11':2 '0':10,12,15,18,20,21 '1172':13 '13080':11 '1644':8 '1650':14 '2019':1 '21540':7 '23842':5 '25614':6 '578':16 '6':19 '6231':9 '7':4 '99':17",14599
14599,600,0,0,13080,0,6231,1655,20996,0,1655,116,23301,0,0,0,1559,2019-11-01,8,25460,17520,"'-01':3 '-11':2 '0':10,12,15,18,19,20,21 '116':17 '13080':11 '1559':13 '1655':8,14 '2019':1 '20996':7 '23301':5 '25460':6 '600':16 '6231':9 '8':4",14600
14600,631,0,0,13080,0,6231,1680,20930,0,1212,136,23206,0,0,0,1296,2019-11-01,9,25102,17520,"'-01':3 '-11':2 '0':10,12,15,18,19,20,21 '1212':14 '1296':13 '13080':11 '136':17 '1680':8 '2019':1 '20930':7 '23206':5 '25102':6 '6231':9 '631':16 '9':4",14601
14601,632,0,0,13080,0,6231,1705,21078,0,1197,111,23346,0,0,0,1060,2019-11-01,10,25006,17520,"'-01':3 '-11':2 '0':10,12,15,18,19,20,21 '10':4 '1060':13 '111':17 '1197':14 '13080':11 '1705':8 '2019':1 '21078':7 '23346':5 '25006':6 '6231':9 '632':16",14602
14602,359,0,0,13080,0,6231,1714,21802,0,1345,176,24144,0,0,0,291,2019-11-01,11,25035,17520,"'-01':3 '-11':2 '0':10,12,15,18,19,20,21 '11':4 '13080':11 '1345':14 '1714':8 '176':17 '2019':1 '21802':7 '24144':5 '25035':6 '291':13 '359':16 '6231':9",14603
14603,348,0,0,13080,0,6231,1722,22890,0,1324,160,25347,12,0,0,15,2019-11-01,12,25962,17520,"'-01':3 '-11':2 '0':10,12,15,18,20,21 '12':4,19 '13080':11 '1324':14 '15':13 '160':17 '1722':8 '2019':1 '22890':7 '25347':5 '25962':6 '348':16 '6231':9",14604
14604,735,0,0,13080,0,6231,1696,25412,0,1998,42,28125,690,0,0,71,2019-11-01,13,28796,17520,"'-01':3 '-11':2 '0':10,12,15,18,20,21 '13':4 '13080':11 '1696':8 '1998':14 '2019':1 '25412':7 '28125':5 '28796':6 '42':17 '6231':9 '690':19 '71':13 '735':16",14605
14605,751,0,0,13080,0,6231,1669,27641,0,1999,-83,30614,726,0,0,15,2019-11-01,14,31312,17520,"'-01':3 '-11':2 '-83':17 '0':10,12,15,18,20,21 '13080':11 '14':4 '15':13 '1669':8 '1999':14 '2019':1 '27641':7 '30614':5 '31312':6 '6231':9 '726':19 '751':16",14606
14606,226,0,0,13080,1,6231,1707,29913,0,2000,-242,33181,441,0,0,13,2019-11-01,15,34036,17520,"'-01':3 '-11':2 '-242':17 '0':12,15,18,20,21 '1':10 '13':13 '13080':11 '15':4 '1707':8 '2000':14 '2019':1 '226':16 '29913':7 '33181':5 '34036':6 '441':19 '6231':9",14607
14607,209,0,0,13080,38,6231,1745,31120,0,1999,-324,34488,435,0,0,11,2019-11-01,16,35423,17520,"'-01':3 '-11':2 '-324':17 '0':12,15,18,20,21 '11':13 '13080':11 '16':4 '1745':8 '1999':14 '2019':1 '209':16 '31120':7 '34488':5 '35423':6 '38':10 '435':19 '6231':9",14608
14608,918,0,0,13080,182,6231,1786,32530,0,1999,-439,35999,974,0,0,10,2019-11-01,17,37048,17520,"'-01':3 '-11':2 '-439':17 '0':12,15,18,20,21 '10':13 '13080':11 '17':4 '1786':8 '182':10 '1999':14 '2019':1 '32530':7 '35999':5 '37048':6 '6231':9 '918':16 '974':19",14609
14609,965,0,0,13080,298,6231,1826,33174,0,1999,-455,36649,999,0,0,10,2019-11-01,18,37714,17520,"'-01':3 '-11':2 '-455':17 '0':12,15,18,20,21 '10':13 '13080':11 '18':4 '1826':8 '1999':14 '2019':1 '298':10 '33174':7 '36649':5 '37714':6 '6231':9 '965':16 '999':19",14610
14610,1055,0,0,13080,429,6231,1895,33641,0,1999,-455,37177,999,0,0,8,2019-11-01,19,38240,17520,"'-01':3 '-11':2 '-455':17 '0':12,15,18,20,21 '1055':16 '13080':11 '1895':8 '19':4 '1999':14 '2019':1 '33641':7 '37177':5 '38240':6 '429':10 '6231':9 '8':13 '999':19",14611
14611,1057,0,0,13080,602,6231,1964,33711,0,1999,-455,37241,1000,0,0,6,2019-11-01,20,38302,17520,"'-01':3 '-11':2 '-455':17 '0':12,15,18,20,21 '1000':19 '1057':16 '13080':11 '1964':8 '1999':14 '20':4 '2019':1 '33711':7 '37241':5 '38302':6 '6':13 '602':10 '6231':9",14612
14612,1058,0,0,13080,650,6231,1972,33612,0,1999,-455,37160,999,0,0,6,2019-11-01,21,38221,17520,"'-01':3 '-11':2 '-455':17 '0':12,15,18,20,21 '1058':16 '13080':11 '1972':8 '1999':14 '2019':1 '21':4 '33612':7 '37160':5 '38221':6 '6':13 '6231':9 '650':10 '999':19",14613
14613,1058,0,0,13080,790,6231,1981,33429,0,1999,-455,36972,999,0,0,6,2019-11-01,22,38033,17520,"'-01':3 '-11':2 '-455':17 '0':12,15,18,20,21 '1058':16 '13080':11 '1981':8 '1999':14 '2019':1 '22':4 '33429':7 '36972':5 '38033':6 '6':13 '6231':9 '790':10 '999':19",14614
14614,1002,-66,0,13080,933,6231,1966,33471,0,1999,-455,37017,999,0,0,5,2019-11-01,23,38143,17520,"'-01':3 '-11':2 '-455':17 '-66':18 '0':12,15,20,21 '1002':16 '13080':11 '1966':8 '1999':14 '2019':1 '23':4 '33471':7 '37017':5 '38143':6 '5':13 '6231':9 '933':10 '999':19",14615
14615,1000,-61,0,13080,1040,6231,1951,33698,0,1999,-455,37276,1000,0,0,6,2019-11-01,24,38398,17520,"'-01':3 '-11':2 '-455':17 '-61':18 '0':12,15,20,21 '1000':16,19 '1040':10 '13080':11 '1951':8 '1999':14 '2019':1 '24':4 '33698':7 '37276':5 '38398':6 '6':13 '6231':9",14616
14616,1000,-13,0,13080,830,6231,1892,33670,0,1999,-455,37252,999,0,0,6,2019-11-01,25,38326,17520,"'-01':3 '-11':2 '-13':18 '-455':17 '0':12,15,20,21 '1000':16 '13080':11 '1892':8 '1999':14 '2019':1 '25':4 '33670':7 '37252':5 '38326':6 '6':13 '6231':9 '830':10 '999':19",14617
14617,999,0,0,13080,845,6231,1833,33437,0,1999,-450,37006,999,0,0,6,2019-11-01,26,38062,17520,"'-01':3 '-11':2 '-450':17 '0':12,15,18,20,21 '13080':11 '1833':8 '1999':14 '2019':1 '26':4 '33437':7 '37006':5 '38062':6 '6':13 '6231':9 '845':10 '999':16,19",14618
14618,1000,0,0,13080,849,6231,1780,33331,0,2000,-407,36909,1000,0,0,7,2019-11-01,27,37923,17520,"'-01':3 '-11':2 '-407':17 '0':12,15,18,20,21 '1000':16,19 '13080':11 '1780':8 '2000':14 '2019':1 '27':4 '33331':7 '36909':5 '37923':6 '6231':9 '7':13 '849':10",14619
14619,1000,0,0,13080,761,6231,1728,33113,0,1999,-384,36679,1000,0,0,7,2019-11-01,28,37670,17520,"'-01':3 '-11':2 '-384':17 '0':12,15,18,20,21 '1000':16,19 '13080':11 '1728':8 '1999':14 '2019':1 '28':4 '33113':7 '36679':5 '37670':6 '6231':9 '7':13 '761':10",14620
14620,1000,0,0,13080,619,6231,1697,32978,0,1999,-384,36494,999,0,0,5,2019-11-01,29,37483,17520,"'-01':3 '-11':2 '-384':17 '0':12,15,18,20,21 '1000':16 '13080':11 '1697':8 '1999':14 '2019':1 '29':4 '32978':7 '36494':5 '37483':6 '5':13 '619':10 '6231':9 '999':19",14621
14621,1000,0,0,13080,333,6231,1666,32934,0,1999,-346,36420,999,0,0,10,2019-11-01,30,37376,17520,"'-01':3 '-11':2 '-346':17 '0':12,15,18,20,21 '10':13 '1000':16 '13080':11 '1666':8 '1999':14 '2019':1 '30':4 '32934':7 '333':10 '36420':5 '37376':6 '6231':9 '999':19",14622
14622,1000,0,0,13080,265,6231,1658,33099,0,1999,-378,36600,999,0,0,6,2019-11-01,31,37584,17520,"'-01':3 '-11':2 '-378':17 '0':12,15,18,20,21 '1000':16 '13080':11 '1658':8 '1999':14 '2019':1 '265':10 '31':4 '33099':7 '36600':5 '37584':6 '6':13 '6231':9 '999':19",14623
14623,1000,0,0,13080,133,6231,1651,33599,0,1999,-359,37116,1000,0,0,13,2019-11-01,32,38088,17520,"'-01':3 '-11':2 '-359':17 '0':12,15,18,20,21 '1000':16,19 '13':13 '13080':11 '133':10 '1651':8 '1999':14 '2019':1 '32':4 '33599':7 '37116':5 '38088':6 '6231':9",14624
14624,999,0,0,13080,11,6231,1636,34149,0,1999,-262,37784,1000,0,0,11,2019-11-01,33,38657,17520,"'-01':3 '-11':2 '-262':17 '0':12,15,18,20,21 '1000':19 '11':10,13 '13080':11 '1636':8 '1999':14 '2019':1 '33':4 '34149':7 '37784':5 '38657':6 '6231':9 '999':16",14625
14625,1000,0,0,13080,0,6231,1620,35217,0,1999,-121,39018,999,0,0,8,2019-11-01,34,39747,17520,"'-01':3 '-11':2 '-121':17 '0':10,12,15,18,20,21 '1000':16 '13080':11 '1620':8 '1999':14 '2019':1 '34':4 '35217':7 '39018':5 '39747':6 '6231':9 '8':13 '999':19",14626
14626,1000,0,0,13080,0,6231,1632,36321,0,1999,-72,40212,999,0,0,7,2019-11-01,35,40891,17520,"'-01':3 '-11':2 '-72':17 '0':10,12,15,18,20,21 '1000':16 '13080':11 '1632':8 '1999':14 '2019':1 '35':4 '36321':7 '40212':5 '40891':6 '6231':9 '7':13 '999':19",14627
14627,1000,0,0,13080,0,6231,1644,36191,0,1999,-18,40049,999,0,0,7,2019-11-01,36,40674,17520,"'-01':3 '-11':2 '-18':17 '0':10,12,15,18,20,21 '1000':16 '13080':11 '1644':8 '1999':14 '2019':1 '36':4 '36191':7 '40049':5 '40674':6 '6231':9 '7':13 '999':19",14628
14628,1000,0,0,13080,0,6231,1690,35691,0,1999,-38,39458,1000,0,0,7,2019-11-01,37,40103,17520,"'-01':3 '-11':2 '-38':17 '0':10,12,15,18,20,21 '1000':16,19 '13080':11 '1690':8 '1999':14 '2019':1 '35691':7 '37':4 '39458':5 '40103':6 '6231':9 '7':13",14629
14629,1000,0,0,13080,0,6231,1737,35090,0,1999,-18,38758,999,0,0,7,2019-11-01,38,39383,17520,"'-01':3 '-11':2 '-18':17 '0':10,12,15,18,20,21 '1000':16 '13080':11 '1737':8 '1999':14 '2019':1 '35090':7 '38':4 '38758':5 '39383':6 '6231':9 '7':13 '999':19",14630
14630,1055,67,0,13080,0,6231,1800,33903,0,1999,82,37438,1000,0,0,11,2019-11-01,39,38049,17520,"'-01':3 '-11':2 '0':10,12,15,20,21 '1000':19 '1055':16 '11':13 '13080':11 '1800':8 '1999':14 '2019':1 '33903':7 '37438':5 '38049':6 '39':4 '6231':9 '67':18 '82':17",14631
14631,1057,133,0,13080,0,6231,1864,32778,0,1999,175,36175,999,0,0,9,2019-11-01,40,36784,17520,"'-01':3 '-11':2 '0':10,12,15,20,21 '1057':16 '13080':11 '133':18 '175':17 '1864':8 '1999':14 '2019':1 '32778':7 '36175':5 '36784':6 '40':4 '6231':9 '9':13 '999':19",14632
14632,1058,229,0,13080,0,6231,1989,31670,0,1999,177,34973,1000,0,0,11,2019-11-01,41,35584,17520,"'-01':3 '-11':2 '0':10,12,15,20,21 '1000':19 '1058':16 '11':13 '13080':11 '177':17 '1989':8 '1999':14 '2019':1 '229':18 '31670':7 '34973':5 '35584':6 '41':4 '6231':9",14633
14633,1057,186,0,13080,0,6231,2114,30262,0,1999,177,33381,999,0,0,5,2019-11-01,42,33986,17520,"'-01':3 '-11':2 '0':10,12,15,20,21 '1057':16 '13080':11 '177':17 '186':18 '1999':14 '2019':1 '2114':8 '30262':7 '33381':5 '33986':6 '42':4 '5':13 '6231':9 '999':19",14634
14634,1058,139,0,13080,0,6231,2200,28704,0,1998,177,31659,999,0,0,6,2019-11-01,43,32265,17520,"'-01':3 '-11':2 '0':10,12,15,20,21 '1058':16 '13080':11 '139':18 '177':17 '1998':14 '2019':1 '2200':8 '28704':7 '31659':5 '32265':6 '43':4 '6':13 '6231':9 '999':19",14635
14635,1057,158,0,13080,0,6231,2287,27351,0,1999,177,30112,1000,0,0,6,2019-11-01,44,30718,17520,"'-01':3 '-11':2 '0':10,12,15,20,21 '1000':19 '1057':16 '13080':11 '158':18 '177':17 '1999':14 '2019':1 '2287':8 '27351':7 '30112':5 '30718':6 '44':4 '6':13 '6231':9",14636
14636,862,132,0,13080,0,6231,2365,25808,0,1713,177,28423,798,0,0,6,2019-11-01,45,29029,17520,"'-01':3 '-11':2 '0':10,12,15,20,21 '13080':11 '132':18 '1713':14 '177':17 '2019':1 '2365':8 '25808':7 '28423':5 '29029':6 '45':4 '6':13 '6231':9 '798':19 '862':16",14637
14637,852,17,0,13080,0,6231,2443,24311,0,1704,173,26829,791,0,0,6,2019-11-01,46,27435,17520,"'-01':3 '-11':2 '0':10,12,15,20,21 '13080':11 '17':18 '1704':14 '173':17 '2019':1 '24311':7 '2443':8 '26829':5 '27435':6 '46':4 '6':13 '6231':9 '791':19 '852':16",14638
