,BRITNED_FLOW,EAST_WEST_FLOW,ELECLINK_FLOW,EMBEDDED_SOLAR_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_WIND_GENERATION,ENGLAND_WALES_DEMAND,IFA2_FLOW,IFA_FLOW,MOYLE_FLOW,ND,NEMO_FLOW,NON_BM_STOR,NSL_FLOW,PUMP_STORAGE_PUMPING,SETTLEMENT_DATE,SETTLEMENT_PERIOD,TSD,_count,_full_text,_id
11662,690,0,0,13080,0,6182,1908,18584,0,221,-78,19784,668,0,0,88,2019-09-01,1,20450,17520,"'-01':3 '-09':2 '-78':17 '0':10,12,15,18,20,21 '1':4 '13080':11 '18584':7 '1908':8 '19784':5 '2019':1 '20450':6 '221':14 '6182':9 '668':19 '690':16 '88':13",11663
11663,688,0,0,13080,0,6182,1866,17862,0,221,-190,18982,668,0,0,400,2019-09-01,2,20072,17520,"'-01':3 '-09':2 '-190':17 '0':10,12,15,18,20,21 '13080':11 '17862':7 '1866':8 '18982':5 '2':4 '20072':6 '2019':1 '221':14 '400':13 '6182':9 '668':19 '688':16",11664
11664,186,0,0,13080,0,6182,1872,17212,0,221,-85,18250,365,0,0,634,2019-09-01,3,19469,17520,"'-01':3 '-09':2 '-85':17 '0':10,12,15,18,20,21 '13080':11 '17212':7 '18250':5 '186':16 '1872':8 '19469':6 '2019':1 '221':14 '3':4 '365':19 '6182':9 '634':13",11665
11665,143,0,0,13080,0,6182,1877,16962,0,231,-74,17982,343,0,0,623,2019-09-01,4,19179,17520,"'-01':3 '-09':2 '-74':17 '0':10,12,15,18,20,21 '13080':11 '143':16 '16962':7 '17982':5 '1877':8 '19179':6 '2019':1 '231':14 '343':19 '4':4 '6182':9 '623':13",11666
11666,-295,0,0,13080,0,6182,1863,16572,0,-267,-56,17551,454,0,0,563,2019-09-01,5,19232,17520,"'-01':3 '-09':2 '-267':14 '-295':16 '-56':17 '0':10,12,15,18,20,21 '13080':11 '16572':7 '17551':5 '1863':8 '19232':6 '2019':1 '454':19 '5':4 '563':13 '6182':9",11667
11667,-347,0,0,13080,0,6182,1849,16172,0,-278,-88,17119,462,0,0,602,2019-09-01,6,18934,17520,"'-01':3 '-09':2 '-278':14 '-347':16 '-88':17 '0':10,12,15,18,20,21 '13080':11 '16172':7 '17119':5 '1849':8 '18934':6 '2019':1 '462':19 '6':4 '602':13 '6182':9",11668
11668,-550,0,0,13080,0,6182,1833,15982,0,-881,-45,16943,654,0,0,559,2019-09-01,7,19478,17520,"'-01':3 '-09':2 '-45':17 '-550':16 '-881':14 '0':10,12,15,18,20,21 '13080':11 '15982':7 '16943':5 '1833':8 '19478':6 '2019':1 '559':13 '6182':9 '654':19 '7':4",11669
11669,-567,0,0,13080,0,6182,1817,15844,0,-917,-36,16849,668,0,0,596,2019-09-01,8,19465,17520,"'-01':3 '-09':2 '-36':17 '-567':16 '-917':14 '0':10,12,15,18,20,21 '13080':11 '15844':7 '16849':5 '1817':8 '19465':6 '2019':1 '596':13 '6182':9 '668':19 '8':4",11670
11670,-566,0,0,13080,0,6182,1777,15877,0,-799,-20,16900,634,0,0,560,2019-09-01,9,19345,17520,"'-01':3 '-09':2 '-20':17 '-566':16 '-799':14 '0':10,12,15,18,20,21 '13080':11 '15877':7 '16900':5 '1777':8 '19345':6 '2019':1 '560':13 '6182':9 '634':19 '9':4",11671
11671,-566,0,0,13080,0,6182,1737,15670,0,-811,-20,16721,630,0,0,566,2019-09-01,10,19184,17520,"'-01':3 '-09':2 '-20':17 '-566':16 '-811':14 '0':10,12,15,18,20,21 '10':4 '13080':11 '15670':7 '16721':5 '1737':8 '19184':6 '2019':1 '566':13 '6182':9 '630':19",11672
11672,-545,0,0,13080,0,6182,1718,15813,0,-111,-30,16891,104,0,0,428,2019-09-01,11,18505,17520,"'-01':3 '-09':2 '-111':14 '-30':17 '-545':16 '0':10,12,15,18,20,21 '104':19 '11':4 '13080':11 '15813':7 '16891':5 '1718':8 '18505':6 '2019':1 '428':13 '6182':9",11673
11673,-543,-30,0,13080,0,6182,1698,16077,0,-78,-20,17233,64,0,0,428,2019-09-01,12,18832,17520,"'-01':3 '-09':2 '-20':17 '-30':18 '-543':16 '-78':14 '0':10,12,15,20,21 '12':4 '13080':11 '16077':7 '1698':8 '17233':5 '18832':6 '2019':1 '428':13 '6182':9 '64':19",11674
11674,-544,46,0,13080,2,6182,1683,16350,0,-80,75,17536,326,0,0,448,2019-09-01,13,19108,17520,"'-01':3 '-09':2 '-544':16 '-80':14 '0':12,15,20,21 '13':4 '13080':11 '16350':7 '1683':8 '17536':5 '19108':6 '2':10 '2019':1 '326':19 '448':13 '46':18 '6182':9 '75':17",11675
11675,-535,24,0,13080,155,6182,1668,16736,0,-88,143,17997,346,0,0,540,2019-09-01,14,19660,17520,"'-01':3 '-09':2 '-535':16 '-88':14 '0':12,15,20,21 '13080':11 '14':4 '143':17 '155':10 '1668':8 '16736':7 '17997':5 '19660':6 '2019':1 '24':18 '346':19 '540':13 '6182':9",11676
11676,-113,0,0,13080,719,6182,1674,17669,0,370,68,18996,86,0,0,41,2019-09-01,15,19650,17520,"'-01':3 '-09':2 '-113':16 '0':12,15,18,20,21 '13080':11 '15':4 '1674':8 '17669':7 '18996':5 '19650':6 '2019':1 '370':14 '41':13 '6182':9 '68':17 '719':10 '86':19",11677
11677,-103,0,0,13080,1490,6182,1680,18181,0,393,32,19608,68,0,0,15,2019-09-01,16,20226,17520,"'-01':3 '-09':2 '-103':16 '0':12,15,18,20,21 '13080':11 '1490':10 '15':13 '16':4 '1680':8 '18181':7 '19608':5 '2019':1 '20226':6 '32':17 '393':14 '6182':9 '68':19",11678
11678,409,0,0,13080,2250,6182,1792,18851,0,415,-76,20478,626,0,0,15,2019-09-01,17,21069,17520,"'-01':3 '-09':2 '-76':17 '0':12,15,18,20,21 '13080':11 '15':13 '17':4 '1792':8 '18851':7 '2019':1 '20478':5 '21069':6 '2250':10 '409':16 '415':14 '6182':9 '626':19",11679
11679,492,0,0,13080,3250,6182,1903,18937,0,390,-234,20711,668,0,0,14,2019-09-01,18,21459,17520,"'-01':3 '-09':2 '-234':17 '0':12,15,18,20,21 '13080':11 '14':13 '18':4 '18937':7 '1903':8 '2019':1 '20711':5 '21459':6 '3250':10 '390':14 '492':16 '6182':9 '668':19",11680
11680,694,0,0,13080,4120,6182,1990,19232,0,1358,-236,21144,668,0,0,14,2019-09-01,19,21894,17520,"'-01':3 '-09':2 '-236':17 '0':12,15,18,20,21 '13080':11 '1358':14 '14':13 '19':4 '19232':7 '1990':8 '2019':1 '21144':5 '21894':6 '4120':10 '6182':9 '668':19 '694':16",11681
11681,711,0,0,13080,4890,6182,2076,19227,0,1406,-220,21192,668,0,0,16,2019-09-01,20,21928,17520,"'-01':3 '-09':2 '-220':17 '0':12,15,18,20,21 '13080':11 '1406':14 '16':13 '19227':7 '20':4 '2019':1 '2076':8 '21192':5 '21928':6 '4890':10 '6182':9 '668':19 '711':16",11682
11682,755,0,0,13080,5830,6182,2086,19193,0,1497,-147,21175,668,0,0,15,2019-09-01,21,21837,17520,"'-01':3 '-09':2 '-147':17 '0':12,15,18,20,21 '13080':11 '1497':14 '15':13 '19193':7 '2019':1 '2086':8 '21':4 '21175':5 '21837':6 '5830':10 '6182':9 '668':19 '755':16",11683
11683,759,0,0,13080,6310,6182,2095,19135,0,1506,-175,21097,668,0,0,21,2019-09-01,22,21793,17520,"'-01':3 '-09':2 '-175':17 '0':12,15,18,20,21 '13080':11 '1506':14 '19135':7 '2019':1 '2095':8 '21':13 '21097':5 '21793':6 '22':4 '6182':9 '6310':10 '668':19 '759':16",11684
