	IFA_FLOW	TSD	IFA2_FLOW	EMBEDDED_WIND_GENERATION	ND	MOYLE_FLOW	NEMO_FLOW	ELECLINK_FLOW	PUMP_STORAGE_PUMPING	EMBEDDED_WIND_CAPACITY	SETTLEMENT_DATE	ENGLAND_WALES_DEMAND	EMBEDDED_SOLAR_CAPACITY	_count	NON_BM_STOR	_full_text	SETTLEMENT_PERIOD	EAST_WEST_FLOW	NSL_FLOW	BRITNED_FLOW	_id	EMBEDDED_SOLAR_GENERATION
7246	1213	22025	0	1915	21097	-20	669	0	323	6137	2019-06-01	19650	13080	17520	0	'-01':3 '-06':2 '-20':17 '-85':16 '0':10,12,15,18,20,21 '1':4 '1213':14 '13080':11 '1915':8 '19650':7 '2019':1 '21097':5 '22025':6 '323':13 '6137':9 '669':19	1	0	0	-85	7247	0
7247	1210	21501	0	1854	20407	18	669	0	491	6137	2019-06-01	18996	13080	17520	0	'-01':3 '-06':2 '-103':16 '0':10,12,15,18,20,21 '1210':14 '13080':11 '18':17 '1854':8 '18996':7 '2':4 '2019':1 '20407':5 '21501':6 '491':13 '6137':9 '669':19	2	0	0	-103	7248	0
7248	1281	21332	0	1760	20158	14	669	0	571	6137	2019-06-01	18719	13080	17520	0	'-01':3 '-06':2 '-103':16 '0':10,12,15,18,20,21 '1281':14 '13080':11 '14':17 '1760':8 '18719':7 '20158':5 '2019':1 '21332':6 '3':4 '571':13 '6137':9 '669':19	3	0	0	-103	7249	0
7249	1287	21405	0	1666	20120	67	669	0	682	6137	2019-06-01	18715	13080	17520	0	'-01':3 '-06':2 '-103':16 '0':10,12,15,18,20,21 '1287':14 '13080':11 '1666':8 '18715':7 '20120':5 '2019':1 '21405':6 '4':4 '6137':9 '669':19 '67':17 '682':13	4	0	0	-103	7250	0
7250	1193	21195	0	1574	19907	220	668	0	684	6137	2019-06-01	18441	13080	17520	0	'-01':3 '-06':2 '-104':16 '0':10,12,15,20,21 '1193':14 '13080':11 '1574':8 '18441':7 '19907':5 '2019':1 '21195':6 '220':17 '32':18 '5':4 '6137':9 '668':19 '684':13	5	32	0	-104	7251	0
7251	1190	21020	0	1482	19586	296	668	0	831	6137	2019-06-01	18099	13080	17520	0	'-01':3 '-06':2 '-103':16 '0':10,12,15,18,20,21 '1190':14 '13080':11 '1482':8 '18099':7 '19586':5 '2019':1 '21020':6 '296':17 '6':4 '6137':9 '668':19 '831':13	6	0	0	-103	7252	0
7252	907	20353	0	1415	19378	297	669	0	371	6137	2019-06-01	17886	13080	17520	0	'-01':3 '-06':2 '-104':16 '0':10,12,15,20,21 '13080':11 '1415':8 '17886':7 '19378':5 '2019':1 '20353':6 '297':17 '371':13 '6137':9 '669':19 '7':4 '75':18 '907':14	7	75	0	-104	7253	0
7253	890	20065	0	1348	19368	297	668	0	93	6137	2019-06-01	17814	13080	17520	0	'-01':3 '-06':2 '-104':16 '0':10,12,15,20,21 '13080':11 '1348':8 '17814':7 '19368':5 '20065':6 '2019':1 '297':17 '6137':9 '668':19 '8':4 '84':18 '890':14 '93':13	8	84	0	-104	7254	0
7254	890	19890	0	1272	19267	297	669	0	19	6137	2019-06-01	17707	13080	17520	0	'-01':3 '-06':2 '-104':16 '0':10,12,15,20,21 '1272':8 '13080':11 '17707':7 '185':18 '19':13 '19267':5 '19890':6 '2019':1 '297':17 '6137':9 '669':19 '890':14 '9':4	9	185	0	-104	7255	0
7255	890	19443	0	1195	18828	297	669	0	11	6137	2019-06-01	17291	13080	17520	0	'-01':3 '-06':2 '-104':16 '0':12,15,20,21 '10':4 '11':13 '1195':8 '13080':11 '17291':7 '185':18 '18828':5 '19443':6 '2019':1 '297':17 '4':10 '6137':9 '669':19 '890':14	10	185	0	-104	7256	4
7256	891	19547	0	1121	18939	297	669	0	4	6137	2019-06-01	17347	13080	17520	0	'-01':3 '-06':2 '-104':16 '0':12,15,20,21 '11':4 '1121':8 '13080':11 '17347':7 '18939':5 '19547':6 '2019':1 '262':18 '297':17 '4':13 '6137':9 '669':19 '83':10 '891':14	11	262	0	-104	7257	83
7257	884	19702	0	1047	19095	297	668	0	3	6137	2019-06-01	17471	13080	17520	0	'-01':3 '-06':2 '-104':16 '0':12,15,20,21 '1047':8 '12':4 '13080':11 '17471':7 '19095':5 '19702':6 '2019':1 '279':18 '297':17 '3':13 '304':10 '6137':9 '668':19 '884':14	12	279	0	-104	7258	304
7258	1235	20524	0	1000	20015	297	668	0	9	6137	2019-06-01	18207	13080	17520	0	'-01':3 '-06':2 '0':12,15,20,21 '1000':8 '1235':14 '13':4 '13080':11 '18207':7 '20015':5 '2019':1 '20524':6 '236':16 '297':17 '426':18 '6137':9 '645':10 '668':19 '9':13	13	426	0	236	7259	645
7259	1255	21355	0	952	20844	275	668	0	11	6137	2019-06-01	18902	13080	17520	0	'-01':3 '-06':2 '0':12,15,20,21 '11':13 '1170':10 '1255':14 '13080':11 '14':4 '18902':7 '2019':1 '20844':5 '21355':6 '275':16,17 '445':18 '6137':9 '668':19 '952':8	14	445	0	275	7260	1170
