	_count	Total	England/Wales Wind Output	Sett_Period	_full_text	Sett_Date	_id	Scottish Wind Output
10274	17568	5968.246	3826.68	1	'-01':3 '-11':2 '00':5,6 '1':7 '2019':1 '2141.566':8 '3826.68':9 '5968.246':10 't00':4	2019-11-01	10275	2141.566
10275	17568	5825.558	3779.878	2	'-01':3 '-11':2 '00':5,6 '2':7 '2019':1 '2045.68':8 '3779.878':9 '5825.558':10 't00':4	2019-11-01	10276	2045.68
10276	17568	5495.796	3613.866	3	'-01':3 '-11':2 '00':5,6 '1881.93':8 '2019':1 '3':7 '3613.866':9 '5495.796':10 't00':4	2019-11-01	10277	1881.93
10277	17568	5318.406	3487.194	4	'-01':3 '-11':2 '00':5,6 '1831.212':8 '2019':1 '3487.194':9 '4':7 '5318.406':10 't00':4	2019-11-01	10278	1831.212
10278	17568	5286.878	3475.374	5	'-01':3 '-11':2 '00':5,6 '1811.504':8 '2019':1 '3475.374':9 '5':7 '5286.878':10 't00':4	2019-11-01	10279	1811.504
10279	17568	5249.606	3489.058	6	'-01':3 '-11':2 '00':5,6 '1760.548':8 '2019':1 '3489.058':9 '5249.606':10 '6':7 't00':4	2019-11-01	10280	1760.548
10280	17568	5303.23	3598.9	7	'-01':3 '-11':2 '00':5,6 '1704.33':8 '2019':1 '3598.9':9 '5303.23':10 '7':7 't00':4	2019-11-01	10281	1704.33
10281	17568	5278.874	3630.792	8	'-01':3 '-11':2 '00':5,6 '1648.082':8 '2019':1 '3630.792':9 '5278.874':10 '8':7 't00':4	2019-11-01	10282	1648.082
10282	17568	5328.07	3685.72	9	'-01':3 '-11':2 '00':5,6 '1642.35':8 '2019':1 '3685.72':9 '5328.07':10 '9':7 't00':4	2019-11-01	10283	1642.35
10283	17568	5484.418	3890.43	10	'-01':3 '-11':2 '00':5,6 '10':7 '1593.988':8 '2019':1 '3890.43':9 '5484.418':10 't00':4	2019-11-01	10284	1593.988
10284	17568	5529	3976.988	11	'-01':3 '-11':2 '00':5,6 '11':7 '1552.012':8 '2019':1 '3976.988':9 '5529':10 't00':4	2019-11-01	10285	1552.012
10285	17568	5613.882	4113.864	12	'-01':3 '-11':2 '00':5,6 '12':7 '1500.018':8 '2019':1 '4113.864':9 '5613.882':10 't00':4	2019-11-01	10286	1500.018
10286	17568	5890.804	4347.332	13	'-01':3 '-11':2 '00':5,6 '13':7 '1543.472':8 '2019':1 '4347.332':9 '5890.804':10 't00':4	2019-11-01	10287	1543.472
10287	17568	6087.004	4482.154	14	'-01':3 '-11':2 '00':5,6 '14':7 '1604.85':8 '2019':1 '4482.154':9 '6087.004':10 't00':4	2019-11-01	10288	1604.85
10288	17568	6320.354	4610.466	15	'-01':3 '-11':2 '00':5,6 '15':7 '1709.888':8 '2019':1 '4610.466':9 '6320.354':10 't00':4	2019-11-01	10289	1709.888
10289	17568	6558.776	4805.384	16	'-01':3 '-11':2 '00':5,6 '16':7 '1753.392':8 '2019':1 '4805.384':9 '6558.776':10 't00':4	2019-11-01	10290	1753.392
10290	17568	6713.586	4882.538	17	'-01':3 '-11':2 '00':5,6 '17':7 '1831.048':8 '2019':1 '4882.538':9 '6713.586':10 't00':4	2019-11-01	10291	1831.048
10291	17568	6942.924	5068.958	18	'-01':3 '-11':2 '00':5,6 '18':7 '1873.966':8 '2019':1 '5068.958':9 '6942.924':10 't00':4	2019-11-01	10292	1873.966
10292	17568	7023.346	5056.066	19	'-01':3 '-11':2 '00':5,6 '19':7 '1967.28':8 '2019':1 '5056.066':9 '7023.346':10 't00':4	2019-11-01	10293	1967.28
10293	17568	7132.356	5184.482	20	'-01':3 '-11':2 '00':5,6 '1947.874':8 '20':7 '2019':1 '5184.482':9 '7132.356':10 't00':4	2019-11-01	10294	1947.874
10294	17568	7163.89	5233.568	21	'-01':3 '-11':2 '00':5,6 '1930.322':8 '2019':1 '21':7 '5233.568':9 '7163.89':10 't00':4	2019-11-01	10295	1930.322
10295	17568	7125.234	5151.94	22	'-01':3 '-11':2 '00':5,6 '1973.294':8 '2019':1 '22':7 '5151.94':9 '7125.234':10 't00':4	2019-11-01	10296	1973.294
10296	17568	7091.242	5111.74	23	'-01':3 '-11':2 '00':5,6 '1979.502':8 '2019':1 '23':7 '5111.74':9 '7091.242':10 't00':4	2019-11-01	10297	1979.502
10297	17568	7125.902	5231.696	24	'-01':3 '-11':2 '00':5,6 '1894.206':8 '2019':1 '24':7 '5231.696':9 '7125.902':10 't00':4	2019-11-01	10298	1894.206
10298	17568	7108.62	5294.71	25	'-01':3 '-11':2 '00':5,6 '1813.91':8 '2019':1 '25':7 '5294.71':9 '7108.62':10 't00':4	2019-11-01	10299	1813.91
10299	17568	6668.302	4952.772	26	'-01':3 '-11':2 '00':5,6 '1715.53':8 '2019':1 '26':7 '4952.772':9 '6668.302':10 't00':4	2019-11-01	10300	1715.53
10300	17568	6105.33	4571.112	27	'-01':3 '-11':2 '00':5,6 '1534.218':8 '2019':1 '27':7 '4571.112':9 '6105.33':10 't00':4	2019-11-01	10301	1534.218
10301	17568	5842.782	4404.978	28	'-01':3 '-11':2 '00':5,6 '1437.804':8 '2019':1 '28':7 '4404.978':9 '5842.782':10 't00':4	2019-11-01	10302	1437.804
10302	17568	5842.534	4373.296	29	'-01':3 '-11':2 '00':5,6 '1469.238':8 '2019':1 '29':7 '4373.296':9 '5842.534':10 't00':4	2019-11-01	10303	1469.238
