Datetime,_count,Total,England/Wales Wind Output,_full_text,_id,Scottish Wind Output
2022-03-01 00:00:00,7246,4436.228,2258.414,'-01':3 '-03':2 '1':4 '2022':1 '2177.814':5 '2258.414':6 '4436.228':7,16035,2177.814
2022-03-01 00:30:00,7246,4507.458,2366.812,'-01':3 '-03':2 '2':4 '2022':1 '2140.646':5 '2366.812':6 '4507.458':7,16036,2140.646
2022-03-01 01:00:00,7246,4512.75,2453.378,'-01':3 '-03':2 '2022':1 '2059.372':5 '2453.378':6 '3':4 '4512.75':7,16037,2059.372
2022-03-01 01:30:00,7246,4018.702,2182.552,'-01':3 '-03':2 '1836.15':5 '2022':1 '2182.552':6 '4':4 '4018.702':7,16038,1836.15
2022-03-01 02:00:00,7246,4015.482,2252.106,'-01':3 '-03':2 '1763.376':5 '2022':1 '2252.106':6 '4015.482':7 '5':4,16039,1763.376
2022-03-01 02:30:00,7246,3773.854,2172.704,'-01':3 '-03':2 '1601.15':5 '2022':1 '2172.704':6 '3773.854':7 '6':4,16040,1601.15
2022-03-01 03:00:00,7246,3561.668,1964.296,'-01':3 '-03':2 '1597.372':5 '1964.296':6 '2022':1 '3561.668':7 '7':4,16041,1597.372
2022-03-01 03:30:00,7246,3415.696,1836.654,'-01':3 '-03':2 '1579.042':5 '1836.654':6 '2022':1 '3415.696':7 '8':4,16042,1579.042
2022-03-01 04:00:00,7246,3213.67,1627.308,'-01':3 '-03':2 '1586.362':5 '1627.308':6 '2022':1 '3213.67':7 '9':4,16043,1586.362
2022-03-01 04:30:00,7246,3231.454,1628.548,'-01':3 '-03':2 '10':4 '1602.906':5 '1628.548':6 '2022':1 '3231.454':7,16044,1602.906
2022-03-01 05:00:00,7246,3256.528,1689.162,'-01':3 '-03':2 '11':4 '1567.366':5 '1689.162':6 '2022':1 '3256.528':7,16045,1567.366
2022-03-01 05:30:00,7246,3092.354,1540.226,'-01':3 '-03':2 '12':4 '1540.226':6 '1552.128':5 '2022':1 '3092.354':7,16046,1552.128
2022-03-01 06:00:00,7246,3012.018,1475.682,'-01':3 '-03':2 '13':4 '1475.682':6 '1536.336':5 '2022':1 '3012.018':7,16047,1536.336
2022-03-01 06:30:00,7246,3048.33,1533.294,'-01':3 '-03':2 '14':4 '1515.036':5 '1533.294':6 '2022':1 '3048.33':7,16048,1515.036
2022-03-01 07:00:00,7246,3123.948,1639.478,'-01':3 '-03':2 '1484.47':5 '15':4 '1639.478':6 '2022':1 '3123.948':7,16049,1484.47
2022-03-01 07:30:00,7246,2978.11,1649.798,'-01':3 '-03':2 '1328.312':5 '16':4 '1649.798':6 '2022':1 '2978.11':7,16050,1328.312
2022-03-01 08:00:00,7246,2743.47,1526.382,'-01':3 '-03':2 '1217.088':5 '1526.382':6 '17':4 '2022':1 '2743.47':7,16051,1217.088
2022-03-01 08:30:00,7246,2712.04,1609.998,'-01':3 '-03':2 '1102.042':5 '1609.998':6 '18':4 '2022':1 '2712.04':7,16052,1102.042
2022-03-01 09:00:00,7246,2745.136,1750.69,'-01':3 '-03':2 '1750.69':6 '19':4 '2022':1 '2745.136':7 '994.446':5,16053,994.446
2022-03-01 09:30:00,7246,2774.528,1772.102,'-01':3 '-03':2 '1002.426':5 '1772.102':6 '20':4 '2022':1 '2774.528':7,16054,1002.426
2022-03-01 10:00:00,7246,2660.606,1753.754,'-01':3 '-03':2 '1753.754':6 '2022':1 '21':4 '2660.606':7 '906.852':5,16055,906.852
2022-03-01 10:30:00,7246,2703.976,1723.396,'-01':3 '-03':2 '1723.396':6 '2022':1 '22':4 '2703.976':7 '980.58':5,16056,980.58
2022-03-01 11:00:00,7246,2589.738,1603.884,'-01':3 '-03':2 '1603.884':6 '2022':1 '23':4 '2589.738':7 '985.854':5,16057,985.854
2022-03-01 11:30:00,7246,2445.496,1507.002,'-01':3 '-03':2 '1507.002':6 '2022':1 '24':4 '2445.496':7 '938.494':5,16058,938.494
2022-03-01 12:00:00,7246,2409.982,1522.358,'-01':3 '-03':2 '1522.358':6 '2022':1 '2409.982':7 '25':4 '887.624':5,16059,887.624
2022-03-01 12:30:00,7246,2329.13,1555.992,'-01':3 '-03':2 '1555.992':6 '2022':1 '2329.13':7 '26':4 '773.138':5,16060,773.138
2022-03-01 13:00:00,7246,2293.946,1620.906,'-01':3 '-03':2 '1620.906':6 '2022':1 '2293.946':7 '27':4 '673.04':5,16061,673.04
2022-03-01 13:30:00,7246,2236.64,1619.894,'-01':3 '-03':2 '1619.894':6 '2022':1 '2236.64':7 '28':4 '616.746':5,16062,616.746
2022-03-01 14:00:00,7246,2250.414,1675.02,'-01':3 '-03':2 '1675.02':6 '2022':1 '2250.414':7 '29':4 '575.394':5,16063,575.394
2022-03-01 14:30:00,7246,2254.212,1738.392,'-01':3 '-03':2 '1738.392':6 '2022':1 '2254.212':7 '30':4 '515.82':5,16064,515.82
2022-03-01 15:00:00,7246,2308.708,1840.186,'-01':3 '-03':2 '1840.186':6 '2022':1 '2308.708':7 '31':4 '468.522':5,16065,468.522
2022-03-01 15:30:00,7246,2329.178,1925.238,'-01':3 '-03':2 '1925.238':6 '2022':1 '2329.178':7 '32':4 '403.94':5,16066,403.94
2022-03-01 16:00:00,7246,2298.76,1995.2,'-01':3 '-03':2 '1995.2':6 '2022':1 '2298.76':7 '303.56':5 '33':4,16067,303.56
2022-03-01 16:30:00,7246,2573.372,2325.632,'-01':3 '-03':2 '2022':1 '2325.632':6 '247.74':5 '2573.372':7 '34':4,16068,247.74
2022-03-01 17:00:00,7246,2909.27,2676.872,'-01':3 '-03':2 '2022':1 '232.398':5 '2676.872':6 '2909.27':7 '35':4,16069,232.398
2022-03-01 17:30:00,7246,3257.53,3064.8,'-01':3 '-03':2 '192.73':5 '2022':1 '3064.8':6 '3257.53':7 '36':4,16070,192.73
2022-03-01 18:00:00,7246,3627.66,3431.074,'-01':3 '-03':2 '196.586':5 '2022':1 '3431.074':6 '3627.66':7 '37':4,16071,196.586
2022-03-01 18:30:00,7246,3957.766,3729.144,'-01':3 '-03':2 '2022':1 '228.622':5 '3729.144':6 '38':4 '3957.766':7,16072,228.622
2022-03-01 19:00:00,7246,4323.67,4033.064,'-01':3 '-03':2 '2022':1 '290.606':5 '39':4 '4033.064':6 '4323.67':7,16073,290.606
2022-03-01 19:30:00,7246,4727.072,4358.546,'-01':3 '-03':2 '2022':1 '368.526':5 '40':4 '4358.546':6 '4727.072':7,16074,368.526
2022-03-01 20:00:00,7246,4974.98,4500.278,'-01':3 '-03':2 '2022':1 '41':4 '4500.278':6 '474.702':5 '4974.98':7,16075,474.702
2022-03-01 20:30:00,7246,5114.828,4552.122,'-01':3 '-03':2 '2022':1 '42':4 '4552.122':6 '5114.828':7 '562.706':5,16076,562.706
2022-03-01 21:00:00,7246,5242.16,4593.472,'-01':3 '-03':2 '2022':1 '43':4 '4593.472':6 '5242.16':7 '648.688':5,16077,648.688
2022-03-01 21:30:00,7246,5375.564,4645.984,'-01':3 '-03':2 '2022':1 '44':4 '4645.984':6 '5375.564':7 '729.58':5,16078,729.58
2022-03-01 22:00:00,7246,5638.402,4714.902,'-01':3 '-03':2 '2022':1 '45':4 '4714.902':6 '5638.402':7 '923.5':5,16079,923.5
2022-03-01 22:30:00,7246,5793.564,4593.93,'-01':3 '-03':2 '1199.634':5 '2022':1 '4593.93':6 '46':4 '5793.564':7,16080,1199.634
2022-03-01 23:00:00,7246,6050.638,4608.316,'-01':3 '-03':2 '1442.322':5 '2022':1 '4608.316':6 '47':4 '6050.638':7,16081,1442.322
2022-03-01 23:30:00,7246,6089.604,4473.74,'-01':3 '-03':2 '1615.864':5 '2022':1 '4473.74':6 '48':4 '6089.604':7,16082,1615.864
