,England/Wales Wind Output,Scottish Wind Output,Sett_Date,Sett_Period,Total,_count,_full_text,_id
4368,1648.3,124.226,2022-07-01,1,1772.526,10274,'-01':3 '-07':2 '1':4 '124.226':5 '1648.3':6 '1772.526':7 '2022':1,4369
4369,1638.428,131.196,2022-07-01,2,1769.624,10274,'-01':3 '-07':2 '131.196':5 '1638.428':6 '1769.624':7 '2':4 '2022':1,4370
4370,1697.0,114.028,2022-07-01,3,1811.028,10274,'-01':3 '-07':2 '114.028':5 '1697.0':6 '1811.028':7 '2022':1 '3':4,4371
4371,1712.178,123.514,2022-07-01,4,1835.692,10274,'-01':3 '-07':2 '123.514':5 '1712.178':6 '1835.692':7 '2022':1 '4':4,4372
4372,1796.118,129.226,2022-07-01,5,1925.344,10274,'-01':3 '-07':2 '129.226':5 '1796.118':6 '1925.344':7 '2022':1 '5':4,4373
4373,1664.554,131.59,2022-07-01,6,1796.144,10274,'-01':3 '-07':2 '131.59':5 '1664.554':6 '1796.144':7 '2022':1 '6':4,4374
4374,1469.942,131.884,2022-07-01,7,1601.826,10274,'-01':3 '-07':2 '131.884':5 '1469.942':6 '1601.826':7 '2022':1 '7':4,4375
4375,1406.762,152.44,2022-07-01,8,1559.202,10274,'-01':3 '-07':2 '1406.762':6 '152.44':5 '1559.202':7 '2022':1 '8':4,4376
4376,1488.802,145.934,2022-07-01,9,1634.736,10274,'-01':3 '-07':2 '145.934':5 '1488.802':6 '1634.736':7 '2022':1 '9':4,4377
4377,1772.524,143.18,2022-07-01,10,1915.704,10274,'-01':3 '-07':2 '10':4 '143.18':5 '1772.524':6 '1915.704':7 '2022':1,4378
4378,1804.838,130.044,2022-07-01,11,1934.882,10274,'-01':3 '-07':2 '11':4 '130.044':5 '1804.838':6 '1934.882':7 '2022':1,4379
4379,1857.046,125.106,2022-07-01,12,1982.152,10274,'-01':3 '-07':2 '12':4 '125.106':5 '1857.046':6 '1982.152':7 '2022':1,4380
4380,1964.38,137.66,2022-07-01,13,2102.04,10274,'-01':3 '-07':2 '13':4 '137.66':5 '1964.38':6 '2022':1 '2102.04':7,4381
4381,2029.564,128.564,2022-07-01,14,2158.128,10274,'-01':3 '-07':2 '128.564':5 '14':4 '2022':1 '2029.564':6 '2158.128':7,4382
4382,2033.634,127.2,2022-07-01,15,2160.834,10274,'-01':3 '-07':2 '127.2':5 '15':4 '2022':1 '2033.634':6 '2160.834':7,4383
4383,2017.526,116.048,2022-07-01,16,2133.574,10274,'-01':3 '-07':2 '116.048':5 '16':4 '2017.526':6 '2022':1 '2133.574':7,4384
4384,1923.65,102.096,2022-07-01,17,2025.746,10274,'-01':3 '-07':2 '102.096':5 '17':4 '1923.65':6 '2022':1 '2025.746':7,4385
4385,1975.64,98.404,2022-07-01,18,2074.044,10274,'-01':3 '-07':2 '18':4 '1975.64':6 '2022':1 '2074.044':7 '98.404':5,4386
4386,2096.464,108.152,2022-07-01,19,2204.616,10274,'-01':3 '-07':2 '108.152':5 '19':4 '2022':1 '2096.464':6 '2204.616':7,4387
4387,2228.72,107.746,2022-07-01,20,2336.466,10274,'-01':3 '-07':2 '107.746':5 '20':4 '2022':1 '2228.72':6 '2336.466':7,4388
4388,2305.836,117.278,2022-07-01,21,2423.114,10274,'-01':3 '-07':2 '117.278':5 '2022':1 '21':4 '2305.836':6 '2423.114':7,4389
4389,2421.21,131.29,2022-07-01,22,2552.5,10274,'-01':3 '-07':2 '131.29':5 '2022':1 '22':4 '2421.21':6 '2552.5':7,4390
4390,2489.872,166.736,2022-07-01,23,2656.608,10274,'-01':3 '-07':2 '166.736':5 '2022':1 '23':4 '2489.872':6 '2656.608':7,4391
