	_count	Total	England/Wales Wind Output	Sett_Period	_full_text	Sett_Date	_id	Scottish Wind Output
13202	17568	5009.87	2557.984	1	'-01':2,3 '00':5,6 '1':7 '2020':1 '2451.886':8 '2557.984':9 '5009.87':10 't00':4	2020-01-01	13203	2451.886
13203	17568	5049.802	2467.156	2	'-01':2,3 '00':5,6 '2':7 '2020':1 '2467.156':9 '2582.646':8 '5049.802':10 't00':4	2020-01-01	13204	2582.646
13204	17568	5004.678	2455.008	3	'-01':2,3 '00':5,6 '2020':1 '2455.008':9 '2549.67':8 '3':7 '5004.678':10 't00':4	2020-01-01	13205	2549.67
13205	17568	4820.584	2295.28	4	'-01':2,3 '00':5,6 '2020':1 '2295.28':9 '2525.304':8 '4':7 '4820.584':10 't00':4	2020-01-01	13206	2525.304
13206	17568	4710.704	2272.776	5	'-01':2,3 '00':5,6 '2020':1 '2272.776':9 '2437.928':8 '4710.704':10 '5':7 't00':4	2020-01-01	13207	2437.928
13207	17568	4618.812	2205.434	6	'-01':2,3 '00':5,6 '2020':1 '2205.434':9 '2413.378':8 '4618.812':10 '6':7 't00':4	2020-01-01	13208	2413.378
13208	17568	4453.486	1951.866	7	'-01':2,3 '00':5,6 '1951.866':9 '2020':1 '2501.62':8 '4453.486':10 '7':7 't00':4	2020-01-01	13209	2501.62
13209	17568	4363.124	1762.216	8	'-01':2,3 '00':5,6 '1762.216':9 '2020':1 '2600.908':8 '4363.124':10 '8':7 't00':4	2020-01-01	13210	2600.908
13210	17568	4569.11	1767.246	9	'-01':2,3 '00':5,6 '1767.246':9 '2020':1 '2801.864':8 '4569.11':10 '9':7 't00':4	2020-01-01	13211	2801.864
13211	17568	4842.534	1784.246	10	'-01':2,3 '00':5,6 '10':7 '1784.246':9 '2020':1 '3058.288':8 '4842.534':10 't00':4	2020-01-01	13212	3058.288
