Datetime,_count,Total,England/Wales Wind Output,_full_text,_id,Scottish Wind Output
2022-02-01 00:00:00,7246,11515.022,7283.29,'-01':3 '-02':2 '1':4 '11515.022':7 '2022':1 '4231.732':5 '7283.29':6,14691,4231.732
2022-02-01 00:30:00,7246,11737.308,7605.592,'-01':3 '-02':2 '11737.308':7 '2':4 '2022':1 '4131.716':5 '7605.592':6,14692,4131.716
2022-02-01 01:00:00,7246,11952.238,7857.028,'-01':3 '-02':2 '11952.238':7 '2022':1 '3':4 '4095.21':5 '7857.028':6,14693,4095.21
2022-02-01 01:30:00,7246,12123.692,8148.4,'-01':3 '-02':2 '12123.692':7 '2022':1 '3975.292':5 '4':4 '8148.4':6,14694,3975.292
2022-02-01 02:00:00,7246,12343.936,8297.396,'-01':3 '-02':2 '12343.936':7 '2022':1 '4046.54':5 '5':4 '8297.396':6,14695,4046.54
2022-02-01 02:30:00,7246,12602.052,8440.936,'-01':3 '-02':2 '12602.052':7 '2022':1 '4161.116':5 '6':4 '8440.936':6,14696,4161.116
2022-02-01 03:00:00,7246,12675.568,8471.344,'-01':3 '-02':2 '12675.568':7 '2022':1 '4204.224':5 '7':4 '8471.344':6,14697,4204.224
2022-02-01 03:30:00,7246,12632.48,8488.542,'-01':3 '-02':2 '12632.48':7 '2022':1 '4143.938':5 '8':4 '8488.542':6,14698,4143.938
2022-02-01 04:00:00,7246,12675.138,8558.84,'-01':3 '-02':2 '12675.138':7 '2022':1 '4116.298':5 '8558.84':6 '9':4,14699,4116.298
2022-02-01 04:30:00,7246,12627.476,8624.41,'-01':3 '-02':2 '10':4 '12627.476':7 '2022':1 '4003.066':5 '8624.41':6,14700,4003.066
2022-02-01 05:00:00,7246,12581.102,8616.818,'-01':3 '-02':2 '11':4 '12581.102':7 '2022':1 '3964.284':5 '8616.818':6,14701,3964.284
2022-02-01 05:30:00,7246,12583.972,8609.16,'-01':3 '-02':2 '12':4 '12583.972':7 '2022':1 '3974.812':5 '8609.16':6,14702,3974.812
2022-02-01 06:00:00,7246,12638.994,8538.462,'-01':3 '-02':2 '12638.994':7 '13':4 '2022':1 '4100.532':5 '8538.462':6,14703,4100.532
2022-02-01 06:30:00,7246,12862.598,8594.64,'-01':3 '-02':2 '12862.598':7 '14':4 '2022':1 '4267.958':5 '8594.64':6,14704,4267.958
2022-02-01 07:00:00,7246,12978.826,8650.69,'-01':3 '-02':2 '12978.826':7 '15':4 '2022':1 '4328.136':5 '8650.69':6,14705,4328.136
2022-02-01 07:30:00,7246,12906.38,8641.204,'-01':3 '-02':2 '12906.38':7 '16':4 '2022':1 '4265.176':5 '8641.204':6,14706,4265.176
2022-02-01 08:00:00,7246,13043.862,8749.858,'-01':3 '-02':2 '13043.862':7 '17':4 '2022':1 '4294.004':5 '8749.858':6,14707,4294.004
2022-02-01 08:30:00,7246,13173.262,8824.434,'-01':3 '-02':2 '13173.262':7 '18':4 '2022':1 '4348.828':5 '8824.434':6,14708,4348.828
2022-02-01 09:00:00,7246,13045.394,8793.782,'-01':3 '-02':2 '13045.394':7 '19':4 '2022':1 '4251.612':5 '8793.782':6,14709,4251.612
2022-02-01 09:30:00,7246,13278.024,8767.262,'-01':3 '-02':2 '13278.024':7 '20':4 '2022':1 '4510.762':5 '8767.262':6,14710,4510.762
2022-02-01 10:00:00,7246,13414.702,8741.358,'-01':3 '-02':2 '13414.702':7 '2022':1 '21':4 '4673.344':5 '8741.358':6,14711,4673.344
2022-02-01 10:30:00,7246,13343.83,8766.54,'-01':3 '-02':2 '13343.83':7 '2022':1 '22':4 '4577.29':5 '8766.54':6,14712,4577.29
2022-02-01 11:00:00,7246,13361.956,8777.874,'-01':3 '-02':2 '13361.956':7 '2022':1 '23':4 '4584.082':5 '8777.874':6,14713,4584.082
2022-02-01 11:30:00,7246,13440.836,8811.224,'-01':3 '-02':2 '13440.836':7 '2022':1 '24':4 '4629.612':5 '8811.224':6,14714,4629.612
2022-02-01 12:00:00,7246,13422.404,8813.398,'-01':3 '-02':2 '13422.404':7 '2022':1 '25':4 '4609.006':5 '8813.398':6,14715,4609.006
2022-02-01 12:30:00,7246,13411.232,8765.394,'-01':3 '-02':2 '13411.232':7 '2022':1 '26':4 '4645.838':5 '8765.394':6,14716,4645.838
2022-02-01 13:00:00,7246,13395.992,8630.774,'-01':3 '-02':2 '13395.992':7 '2022':1 '27':4 '4765.218':5 '8630.774':6,14717,4765.218
2022-02-01 13:30:00,7246,13485.89,8722.324,'-01':3 '-02':2 '13485.89':7 '2022':1 '28':4 '4763.566':5 '8722.324':6,14718,4763.566
2022-02-01 14:00:00,7246,13639.082,8821.656,'-01':3 '-02':2 '13639.082':7 '2022':1 '29':4 '4817.426':5 '8821.656':6,14719,4817.426
2022-02-01 14:30:00,7246,13625.418,8785.98,'-01':3 '-02':2 '13625.418':7 '2022':1 '30':4 '4839.438':5 '8785.98':6,14720,4839.438
2022-02-01 15:00:00,7246,13588.918,8704.872,'-01':3 '-02':2 '13588.918':7 '2022':1 '31':4 '4884.046':5 '8704.872':6,14721,4884.046
2022-02-01 15:30:00,7246,13530.18,8635.368,'-01':3 '-02':2 '13530.18':7 '2022':1 '32':4 '4894.812':5 '8635.368':6,14722,4894.812
2022-02-01 16:00:00,7246,13467.856,8596.208,'-01':3 '-02':2 '13467.856':7 '2022':1 '33':4 '4871.648':5 '8596.208':6,14723,4871.648
2022-02-01 16:30:00,7246,13351.384,8548.09,'-01':3 '-02':2 '13351.384':7 '2022':1 '34':4 '4803.294':5 '8548.09':6,14724,4803.294
