,England/Wales Wind Output,Scottish Wind Output,Sett_Date,Sett_Period,Total,_count,_full_text,_id
11714,2009.328,233.488,2019-12-01,1,2242.816,17568,"'-01':3 '-12':2 '00':5,6 '1':7 '2009.328':9 '2019':1 '2242.816':10 '233.488':8 't00':4",11715
11715,1823.388,261.466,2019-12-01,2,2084.854,17568,"'-01':3 '-12':2 '00':5,6 '1823.388':9 '2':7 '2019':1 '2084.854':10 '261.466':8 't00':4",11716
11716,1775.06,268.928,2019-12-01,3,2043.988,17568,"'-01':3 '-12':2 '00':5,6 '1775.06':9 '2019':1 '2043.988':10 '268.928':8 '3':7 't00':4",11717
11717,1752.686,310.98,2019-12-01,4,2063.666,17568,"'-01':3 '-12':2 '00':5,6 '1752.686':9 '2019':1 '2063.666':10 '310.98':8 '4':7 't00':4",11718
11718,1780.868,307.658,2019-12-01,5,2088.526,17568,"'-01':3 '-12':2 '00':5,6 '1780.868':9 '2019':1 '2088.526':10 '307.658':8 '5':7 't00':4",11719
11719,1826.766,384.612,2019-12-01,6,2211.378,17568,"'-01':3 '-12':2 '00':5,6 '1826.766':9 '2019':1 '2211.378':10 '384.612':8 '6':7 't00':4",11720
11720,1894.78,482.524,2019-12-01,7,2377.304,17568,"'-01':3 '-12':2 '00':5,6 '1894.78':9 '2019':1 '2377.304':10 '482.524':8 '7':7 't00':4",11721
11721,2006.486,674.354,2019-12-01,8,2680.84,17568,"'-01':3 '-12':2 '00':5,6 '2006.486':9 '2019':1 '2680.84':10 '674.354':8 '8':7 't00':4",11722
11722,2102.494,839.772,2019-12-01,9,2942.266,17568,"'-01':3 '-12':2 '00':5,6 '2019':1 '2102.494':9 '2942.266':10 '839.772':8 '9':7 't00':4",11723
11723,2274.854,851.558,2019-12-01,10,3126.412,17568,"'-01':3 '-12':2 '00':5,6 '10':7 '2019':1 '2274.854':9 '3126.412':10 '851.558':8 't00':4",11724
11724,2417.872,900.536,2019-12-01,11,3318.408,17568,"'-01':3 '-12':2 '00':5,6 '11':7 '2019':1 '2417.872':9 '3318.408':10 '900.536':8 't00':4",11725
11725,2754.8,963.36,2019-12-01,12,3718.16,17568,"'-01':3 '-12':2 '00':5,6 '12':7 '2019':1 '2754.8':9 '3718.16':10 '963.36':8 't00':4",11726
11726,2992.322,1056.508,2019-12-01,13,4048.83,17568,"'-01':3 '-12':2 '00':5,6 '1056.508':8 '13':7 '2019':1 '2992.322':9 '4048.83':10 't00':4",11727
11727,2871.232,1237.324,2019-12-01,14,4108.556,17568,"'-01':3 '-12':2 '00':5,6 '1237.324':8 '14':7 '2019':1 '2871.232':9 '4108.556':10 't00':4",11728
