,England/Wales Wind Output,Scottish Wind Output,Sett_Date,Sett_Period,Total,_count,_full_text,_id
8784,7441.91,2468.82,2022-10-01,1,9910.73,10274,'-01':3 '-10':2 '1':4 '2022':1 '2468.82':5 '7441.91':6 '9910.73':7,8785
8785,7298.902,2480.004,2022-10-01,2,9778.906,10274,'-01':3 '-10':2 '2':4 '2022':1 '2480.004':5 '7298.902':6 '9778.906':7,8786
8786,7005.57,2331.992,2022-10-01,3,9337.562,10274,'-01':3 '-10':2 '2022':1 '2331.992':5 '3':4 '7005.57':6 '9337.562':7,8787
8787,6999.608,2279.39,2022-10-01,4,9278.998,10274,'-01':3 '-10':2 '2022':1 '2279.39':5 '4':4 '6999.608':6 '9278.998':7,8788
8788,6915.93,2317.73,2022-10-01,5,9233.66,10274,'-01':3 '-10':2 '2022':1 '2317.73':5 '5':4 '6915.93':6 '9233.66':7,8789
8789,6538.954,2220.3,2022-10-01,6,8759.254,10274,'-01':3 '-10':2 '2022':1 '2220.3':5 '6':4 '6538.954':6 '8759.254':7,8790
8790,6655.402,2098.844,2022-10-01,7,8754.246,10274,'-01':3 '-10':2 '2022':1 '2098.844':5 '6655.402':6 '7':4 '8754.246':7,8791
8791,6650.814,2106.91,2022-10-01,8,8757.724,10274,'-01':3 '-10':2 '2022':1 '2106.91':5 '6650.814':6 '8':4 '8757.724':7,8792
8792,6911.094,1778.32,2022-10-01,9,8689.414,10274,'-01':3 '-10':2 '1778.32':5 '2022':1 '6911.094':6 '8689.414':7 '9':4,8793
8793,7157.12,1489.588,2022-10-01,10,8646.708,10274,'-01':3 '-10':2 '10':4 '1489.588':5 '2022':1 '7157.12':6 '8646.708':7,8794
8794,7584.652,1543.576,2022-10-01,11,9128.228,10274,'-01':3 '-10':2 '11':4 '1543.576':5 '2022':1 '7584.652':6 '9128.228':7,8795
8795,7863.996,1583.682,2022-10-01,12,9447.678,10274,'-01':3 '-10':2 '12':4 '1583.682':5 '2022':1 '7863.996':6 '9447.678':7,8796
8796,7983.156,1598.258,2022-10-01,13,9581.414,10274,'-01':3 '-10':2 '13':4 '1598.258':5 '2022':1 '7983.156':6 '9581.414':7,8797
8797,7954.628,2121.686,2022-10-01,14,10076.314,10274,'-01':3 '-10':2 '10076.314':7 '14':4 '2022':1 '2121.686':5 '7954.628':6,8798
8798,7734.82,2399.214,2022-10-01,15,10134.034,10274,'-01':3 '-10':2 '10134.034':7 '15':4 '2022':1 '2399.214':5 '7734.82':6,8799
8799,7875.206,2794.4,2022-10-01,16,10669.606,10274,'-01':3 '-10':2 '10669.606':7 '16':4 '2022':1 '2794.4':5 '7875.206':6,8800
8800,7845.45,2720.744,2022-10-01,17,10566.194,10274,'-01':3 '-10':2 '10566.194':7 '17':4 '2022':1 '2720.744':5 '7845.45':6,8801
8801,7715.428,3018.272,2022-10-01,18,10733.7,10274,'-01':3 '-10':2 '10733.7':7 '18':4 '2022':1 '3018.272':5 '7715.428':6,8802
8802,7720.592,3134.634,2022-10-01,19,10855.226,10274,'-01':3 '-10':2 '10855.226':7 '19':4 '2022':1 '3134.634':5 '7720.592':6,8803
8803,7543.5,3237.092,2022-10-01,20,10780.592,10274,'-01':3 '-10':2 '10780.592':7 '20':4 '2022':1 '3237.092':5 '7543.5':6,8804
8804,7553.028,3259.352,2022-10-01,21,10812.38,10274,'-01':3 '-10':2 '10812.38':7 '2022':1 '21':4 '3259.352':5 '7553.028':6,8805
8805,7905.85,2729.154,2022-10-01,22,10635.004,10274,'-01':3 '-10':2 '10635.004':7 '2022':1 '22':4 '2729.154':5 '7905.85':6,8806
8806,7989.72,2590.982,2022-10-01,23,10580.702,10274,'-01':3 '-10':2 '10580.702':7 '2022':1 '23':4 '2590.982':5 '7989.72':6,8807
8807,7916.43,2790.762,2022-10-01,24,10707.192,10274,'-01':3 '-10':2 '10707.192':7 '2022':1 '24':4 '2790.762':5 '7916.43':6,8808
8808,7947.588,2819.19,2022-10-01,25,10766.778,10274,'-01':3 '-10':2 '10766.778':7 '2022':1 '25':4 '2819.19':5 '7947.588':6,8809
8809,7958.504,2886.324,2022-10-01,26,10844.828,10274,'-01':3 '-10':2 '10844.828':7 '2022':1 '26':4 '2886.324':5 '7958.504':6,8810
8810,7983.428,2896.0,2022-10-01,27,10879.428,10274,'-01':3 '-10':2 '10879.428':7 '2022':1 '27':4 '2896.0':5 '7983.428':6,8811
8811,7983.104,3025.18,2022-10-01,28,11008.284,10274,'-01':3 '-10':2 '11008.284':7 '2022':1 '28':4 '3025.18':5 '7983.104':6,8812
8812,8040.474,2984.984,2022-10-01,29,11025.458,10274,'-01':3 '-10':2 '11025.458':7 '2022':1 '29':4 '2984.984':5 '8040.474':6,8813
8813,8061.94,3029.658,2022-10-01,30,11091.598,10274,'-01':3 '-10':2 '11091.598':7 '2022':1 '30':4 '3029.658':5 '8061.94':6,8814
8814,8166.756,3080.204,2022-10-01,31,11246.96,10274,'-01':3 '-10':2 '11246.96':7 '2022':1 '3080.204':5 '31':4 '8166.756':6,8815
8815,7812.276,3502.12,2022-10-01,32,11314.396,10274,'-01':3 '-10':2 '11314.396':7 '2022':1 '32':4 '3502.12':5 '7812.276':6,8816
8816,7597.65,3804.806,2022-10-01,33,11402.456,10274,'-01':3 '-10':2 '11402.456':7 '2022':1 '33':4 '3804.806':5 '7597.65':6,8817
8817,7426.742,3928.57,2022-10-01,34,11355.312,10274,'-01':3 '-10':2 '11355.312':7 '2022':1 '34':4 '3928.57':5 '7426.742':6,8818
